0,1,2,3,4,5
Reporting Directive (CSRD) that contain cross-cutting,,,,,Management  Report  in  which  this  information  is
"data with other European legislation are listed below,",,,,detailed:,
Standard,"Disclosure 
Requirement",Paragraph(1),Reference(2),Materiality,Section of the Report
ESRS 2,GOV-1,21 d,SFDR/BNCH,Material,24.3.1.
ESRS 2,GOV-1,21 e,BNCH,Material,24.3.1.
ESRS 2,GOV-4,30; 32,SFDR,Material,24.3.4.
ESRS 2,SBM-1,40 d i,SFDR/P3/BNCH,Material,24.4.1.
ESRS 2,SBM-1,40 d ii,SFDR/BNCH,Na,—
ESRS 2,SBM-1,40 d iii,SFDR/BNCH,Na,—
ESRS 2,SBM-1,40 d iv,BNCH,Na,—
