0,1,2,3,4,5
CSRD Topic1,CSRD Disclosure requirement,Other EU legislation2,Reference,Pages3,Assurance level
ESRS S4,Disclosure Requirement related to ESRS 2 SBM-2 – Interests and views of stakeholders,,"Social: Improving people's lives
Governance: Working with stakeholders and advocacy","46
54",Limited Assurance
Consumers and end-,,,"ESG governance, strategy and policies: Strategy",170,
users,"Disclosure Requirement related to ESRS 2 SBM-3 – Material impacts, risks and opportunities 
and their interaction with strategy and business mode",,"Social: Improving people's lives
Governance: Patient safety, quality and regulatory","46
50","Reasonable 
Assurance"
,,,"Governance: Working with stakeholders and advocacy
ESG governance, strategy and policies: Strategy","54
170",
,,,Sustainability statement: IRO Table,174,
,Disclosure Requirement S4-1 – Policies related to consumers and end-users,SFDR/BRR,"Governance: General Business Principles (GBP)
ESG governance, strategy and policies: Policies","51
171","Reasonable 
Assurance"
,,,"Double Materiality Assessment: Policy Overview
Governance information: Philips SpeakUp (Ethics Line)","180
237",
,"Disclosure Requirement S4-2 – Processes for engaging with consumers and end-users about 
impacts",,"Social: Improving people's lives
Governance: General Business Principles (GBP)","46
51",Limited Assurance
,,,"Governance: Working with stakeholders and advocacy
Governance information: Philips SpeakUp (Ethics Line)","54
237",
,"Disclosure Requirement S4-3 – Processes to remediate negative impacts and channels for 
consumers and end-users to raise concerns",,"Social: Improving people's lives
Governance: Patient safety, quality and regulatory","46
50",Limited Assurance
,,,"Governance: General Business Principles (GBP)
Governance information: Philips SpeakUp (Ethics Line)","51
237",
,"Disclosure Requirement S4-4 – Taking action on material impacts on consumers and end-
users, and approaches to managing material risks and pursuing material opportunities related",SFDR,"Social: Improving people's lives
Governance: Patient safety, quality and regulatory","46
50",Limited Assurance
,"to consumers and end-users, and effectiveness of those actions","1,2,3",Consumers and end-users: Product responsibility and safety,236,
,"Disclosure Requirement S4-5 – Targets related to managing material negative impacts, 
advancing positive impacts, and managing material risks and opportunities",,"Social: Improving people's lives
Sustainability statement: Tracking our 2025 ESG program","46
166",Limited Assurance
,,,Sustainability statement: Double Materiality Assessment,171,
ESRS G1,"Disclosure Requirement related to ESRS 2 GOV-1 – The role of the administrative, 
supervisory and management bodies",,"Environmental, Social and Governance: ESG governance 
Governance: Corporate governance","40
48",Limited Assurance
Business conduct,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and 
assess material impacts, risks and opportunities",,"Sustainability statement: Double Materiality Assessment
Governance information: Philips SpeakUp (Ethics Line)","171
237","Reasonable 
Assurance"
,"Disclosure Requirement G1-1– Corporate culture and Business conduct policies and 
corporate culture",SFDR,"Governance:The Philips integrated operating model
Governance: General Business Principles (GBP)","49
51","Reasonable 
assurance"
,,,Governance information: Philips SpeakUp (Ethics Line),237,
,Disclosure Requirement G1-2 – Management of relationships with suppliers,,"Business: Supply chain and procurement
Social: Supplier sustainability","23
48",Limited Assurance
,,,"Supplier Sustainability & Workers in the value chain: Selection and 
classification",230,
,Disclosure Requirement G1-3 – Prevention and detection of corruption and bribery,,"Governance: General Business Principles (GBP)
Governance information: Philips SpeakUp (Ethics Line)","51
237","Reasonable 
Assurance"
,Disclosure Requirement G1-4 – Confirmed incidents of corruption or bribery,SFDR/BRR,"Governance: General Business Principles (GBP)
Governance information: Philips SpeakUp (Ethics Line)","51
237","Reasonable 
Assurance"
,Disclosure Requirement G1-5 – Political influence and lobbying activities,,"Advocacy activities and expenses 
Advocacy activities and expenses: Advocacy Expenses","238
241",Limited Assurance
,Disclosure Requirement G1-6 – Payment practices,,"Supplier Sustainability & Workers in the value chain: Payment 
practices",234,Limited Assurance
