0,1,2,3,4,5,6,7,8
Disclosure,Data,,SFDR,Pillar 3,"Benchmark 
Regulation","EU Climate 
Law",,
Requirement,points,,reference,reference,reference,reference,Section,Page
ESRS S1-13,,"Training and skills development 
metrics",,,,,4.3.1.15,280
ESRS S1-14,,Health and safety metrics,,,,,4.3.1.16,281
ESRS S1-14,"88 (b) 
and (c)","Number of fatalities and number 
and rate of work-related accidents",x,,,,4.3.1.16,281
ESRS S1-14,88 (e),"Number of days lost to injuries, 
accidents, fatalities or illness",x,,,,4.3.1.16,281
ESRS S1-15,,Work-life balance metrics,,,,,4.3.1.17,281
ESRS S1-16,,"Remuneration metrics 
(pay gap and total remuneration)",,,,,4.3.1.18,281
ESRS S1-16,97 (a),Unadjusted gender pay gap,x,,,,4.3.1.18,281
ESRS S1-16,97 (b),Excessive CEO pay ratio,x,,,,4.3.1.18,281
ESRS S1-17,,"Incidents, complaints and severe 
human rights impacts",,,,,4.3.1.19,281
ESRS S1-17,103 (a),Incidents of discrimination,x,,,,4.3.1.19,281
ESRS S1-17,104 (a),"Non-respect of UNGPs on Business 
and Human Rights and OECD",,,,,,
,,guidelines,x,,,,4.3.1.19,281
ESRS 2 SBM-2 S2,,"Interests and views 
of stakeholders",,,,,4.3.2.1,282
ESRS 2 SBM-3 S2,,"Material impacts, risks and 
opportunities and their interaction",,,,,,
,,with strategy and business model,,,,,4.3.2.2,282
ESRS 2 SBM-3 S2,11 (b),"Significant risk of child labour 
or forced labour in the value chain",x,,,,4.3.2.2,282
ESRS S2-1,,"Policies related to value 
chain workers",,,,,4.3.2.3,283
ESRS S2-1,17,Human rights policy commitments,x,,,,4.3.2.3,283
ESRS S2-1,18,"Policies related to value 
chain workers",x,,,,4.3.2.3,283
ESRS S2-1,19,"Non-respect of UNGPs on Business 
and Human Rights and OECD",,,,,,
,,guidelines,x,,,,4.3.2.3,283
ESRS S2-1,19,"Due diligence policies on issues 
addressed by the fundamental",,,,,,
,,"International Labour Organization 
Conventions 1 to 8",x,,x,,4.3.2.3,283
ESRS S2-2,,"Processes for engaging with value 
chain workers about impacts",,,,,,
,,,,,,,4.3.2.4,284
ESRS S2-3,,"Processes to remediate negative 
impacts and channels for value",,,,,,
,,chain workers to raise concerns,,,,,4.3.2.5,284
