0,1
ESRS Disclosure Requirements Index,
Disclosure requirement,Page number
E1 Climate change (environmental concerns in accordance with NaDiVeG),231
ESRS 2 GOV-3 Integration of sustainability-related performance in incentive schemes,159
E1-1 Transition plan for climate change mitigation,231
"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction with strategy and",
business model,233
"ESRS 2 IRO-1 Description of the processes to identify and assess material impacts, risks and",
opportunities,180
E1-2 Policies related to climate change mitigation and adaptation,234
E1-3 Actions and resources in relation to climate change policies,234
E1-4 Targets related to climate change mitigation and adaptation,237
E1-5 Energy consumption and mix,240
"E1-6 Gross Scopes 1, 2, 3 and Total GHG emissions",242
E1-8 Internal carbon pricing,249
E1-9 Anticipated financial effects from material physical and transition risks and potential,Application of
climate-related opportunities,phase-in
E2 Pollution (environmental concerns in accordance with NaDiVeG),249
"ESRS 2 IRO-1 Description of the processes to identify and assess material impacts, risks and",
opportunities in connection with pollution,180
E2-1 Policies related to pollution,250
E2-2 Actions and resources related to pollution,250
E2-3 Targets related to pollution,251
"E2-4 Pollution of air, water and soil",251
E3 Water and marine resources (environmental concerns in accordance with NaDiVeG),252
ESRS 2 IRO-1 Description of the processes to identify and assess material water and marine,
"resources-related impacts, risks and opportunities",180
E3-1 Policies related to water and marine resources,252
E3-2 Actions and resources related to water and marine resources,253
E3-3 Targets related to water and marine resources,254
E3-4 Water consumption,254
E3-5 Anticipated financial effects from water and marine resources-related risks and,Application of
opportunities,phase-in
E4 Biodiversity and ecosystems (environmental concerns in accordance with NaDiVeG),256
E4-1 Transition plan and consideration of biodiversity and ecosystems in strategy and,
business model,256
"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction with strategy",
and business model,256
"ESRS 2 IRO-1 Description of the processes to identify and assess material impacts, risks and",
opportunities in connection with biodiversity and ecosystems,180
E4-2 Policies related to biodiversity and ecosystems,265
E4-3 Actions and resources related to biodiversity and ecosystems,267
E4-4 Targets related to biodiversity and ecosystems,272
E4-5 Impact metrics related to biodiversity and ecosystem changes,273
"E4-6 Anticipated financial effects from biodiversity and ecosystem-related impacts, risks and",Application of
opportunities,phase-in
