0,1,2,3,4,5,6
"The table below includes all the datapoints that derive from other EU legislation as listed in ESRS 2 appendix B, indicating where the data points can be 
found in our report and which data points are assessed as ‘Not material’.",,,,,,
Disclosure,Data,Disclosure,Legislation,Section/,Page,
Requirement,point,Requirement,,Report,,
"ESRS 2, GOV-1",21(d),Board's gender diversity,SFDR/BRR,MR,72,
"ESRS 2, GOV-1",21(e),Percentage of board members who are independent,BRR,MR,43,
"ESRS 2, GOV-4",30,Statement on due diligence,SFDR,SS,172,
ESRS 2 SBM-1,40 (d) i,Involvement in activities related to fossil fuel activities,SFDR/P3/BRR,Not material,,-
ESRS 2 SBM-1,40 (d) ii,Involvement in activities related to chemical production,SFDR/BRR,Not material,,-
ESRS 2 SBM-1,40 (d) iii,Involvement in activities related to controversial weapons,SFDR/BRR,Not material,,-
ESRS 2 SBM-1,40 (d) iv,"Involvement in activities related to cultivation and 
production of tobacco",BRR,Not material,,-
ESRS E1-1,14,Transition plan to reach climate neutrality by 2050,EUCL,SS,133,
,,,,,135,
ESRS E1-1,16 (g),Undertakings excluded from Paris-aligned Benchmarks,P3/BRR,Not relevant,,-
