0,1,2,3,4,5,6,7,8
"The table below includes all of the data points that derive from other EU legislation as listed in ESRS 2 Appendix B,",,,,,,,Not stated: Information not reported in integrated annual report 2024,
indicating where the data points are found.,,,,,,,,
Disclosure,,,SFDR,Pillar 3,"Benchmark
regulation","EU Climate
Law",,
requirement,Data point,Sustainability statement — Appendix,reference,reference,reference,reference,Section,Page
ESRS 2 GOV-1,21 (d),Board’s gender diversity,x,,x,,SUS,101
ESRS 2 GOV-1,21 (e),Percentage of board members who are independent,,,x,,SUS,101
ESRS 2 GOV-4,30,Statement on due diligence,x,,,,SUS,56
ESRS 2 SBM-1,40 (d) i,Involvement in activities related to fossil fuel activities,x,x,x,,Not relevant,-
ESRS 2 SBM-1,40 (d) ii,Involvement in activities related to chemical production,x,,x,,Not relevant,-
ESRS 2 SBM-1,40 (d) iii,Involvement in activities related to controversial weapons,x,,x,,Not relevant,-
ESRS 2 SBM-1,40 (d) iv,Involvement in activities related to cultivation and production of tobacco,,,x,,Not relevant,-
ESRS E1-1,14,Transition plan to reach climate neutrality by 2050,,,,x,Not stated,-
ESRS E1-1,16 (g),Undertakings excluded from Paris-aligned Benchmarks,,x,x,,Not relevant,-
ESRS E1-4,34,GHG emissions reduction targets,x,x,x,,SUS,64
ESRS E1-5,38,Energy consumption from fossil sources disaggregated by sources (only high climate impact sectors),x,,,,SUS,72
ESRS E1-5,37,Energy consumption and mix,x,,,,SUS,72
ESRS E1-5,40-43,Energy intensity associated with activities in high climate impact sectors,x,,,,SUS,101
ESRS E1-6,44,"Gross scope 1, 2, 3 and Total GHG emissions",x,x,x,,SUS,72
ESRS E1-6,53-55,Gross GHG emissions intensity,x,x,x,,SUS,72
ESRS E1-7,56,GHG removals and carbon credits,,,,x,SUS,72
ESRS E1-9,66,Exposure of the benchmark portfolio to climate-related physical risks,,,x,,Not stated,-
ESRS E1-9,66 (a); 66 (c),Disaggregation of monetary amounts by acute and chronic physical risk; Location of significant assets at material physical risk,,x,,,Not stated,-
ESRS E1-9,67 (c),Breakdown of the carrying value of its real estate assets by energy-efficiency classes,,x,,,Not stated,-
ESRS E1-9,69,Degree of exposure of the portfolio to climate-related opportunities,,,x,,Not stated,-
ESRS E2-4,28,"Amount of each pollutant listed in Annex II of the E-PRTR Regulation emitted to air, water, and soil",x,,,,Not stated,-
ESRS E3-1,9,Water and marine resources,x,,,,SUS,78
ESRS E3-1,13,Dedicated policy,x,,,,Not relevant,-
ESRS E3-1,14,Sustainable oceans and seas,x,,,,Not stated,-
ESRS E3-4,28 (c),Total water recycled and reused,x,,,,Not stated,-
ESRS E3-4,29,Total water consumption in m3 per net revenue on own operations,x,,,,SUS,101
ESRS 2- SBM 3 - E4,16 (a) i,,x,,,,Not stated,-
ESRS 2- SBM 3 - E4,16 (b),,x,,,,Not stated,-
ESRS 2- SBM 3 - E4,16 (c),,x,,,,Not stated,-
,The table above provides an overview of ESRS data points and where these can be found in this report. From 2025 Danfoss will provide full disclosure on all mandatory and material ESRS data points.,,,,,,,
