0,1,2,3,4
"Content index of ESRS disclosure requirements: Cross-cutting standard general disclosures
ESRS 2 IRO 2-56 and BP-2.16",,,,
Disclosure requirements,,"Section /  
Report",Page,Additional information
ESRS 2,General disclosures,,,
BP-1,General basis for preparation of the sustainability statement,SUS,74,
BP-2,Disclosures in relation to specific  circumstances,SUS,76,"Estimations: E1, E4, E5"
,Data points that derive from other EU legislation,SUS,184,
GOV-1,"The role of the administrative, management and supervisory bodies",SUS,95,
GOV-2,"Information provided to and sustainability matters addressed by the undertaking’s administrative, management 
and supervisory bodies",SUS,96,
GOV-3,Integration of sustainability-related performance in incentive schemes,SUS,97,
GOV-4,Statement on sustainability due diligence,SUS,100,
GOV-5,"Risk management and internal controls over sustainability reporting 
MR 59 Internal controls environment","SUS
AR","100
61",Section 2.9 Development of risks and opportunities
SBM-1,"Strategy, business model and value chain (products, markets, customers)","SUS
AR","77
21, 28",
,"Strategy, business model and value chain (headcount by country)",SUS,157,Disclosed in Chapter S1
,"Strategy, business model and value chain (breakdown of revenue)",SUS,81,Revenues from coal and gas
SBM-2,Interests and views of stakeholders,SUS,82,
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model","SUS
AR","83
209",Goodwill impairment test assumption
IRO-1,"Description of the process to identify and assess material impacts, risks and opportunities",SUS,88,"GOV-5 – Risk management and internal control over  
sustainability reporting"
IRO-2,Disclosure requirements in ESRS covered by the undertaking’s sustainability statement,SUS,184,
SUS – Sustainability Statement; AR – Annual Report,,,,
