0,1,2,3,4,5,6,7,8
ESRS 2 BP-2.15 and IRO 2-56,Appendix B: List of data points in cross-cutting and topical standards that derive from other EU legislation,,,,,,,
"Disclosure 
requirements",Data Point,Description,"SFDR 
reference","Pillar 3 
reference","Benchmark 
regulation","EU  
climate law",Section,Page
,,,,,reference,reference,,
Appendix B,,,,,,,,
ESRS S1-16,97 a,Unadjusted gender pay gap,√,,√,,N/M,
ESRS S1-16,97 b,Excessive CEO pay ratio,√,,,,N/M,
ESRS S1-17,103 a,Incidents of discrimination,√,,,,SUS,160
ESRS S1-17,104 a,Non-respect of UNGPs on Business and Human Rights and OECD guidelines,√,,√,,SUS,160
ESRS 2 – SBM 3 – S2,11 b,Significant risk of child labour or forced labour in the value chain,√,,,,SUS,162
ESRS S2-1,17,Human rights policy commitments,√,,,,SUS,163
ESRS S2-1,18,Policies related to value chain workers,√,,,,SUS,163
ESRS S2-1,19,Non-respect of UNGPs on Business and Human Rights principles and OECD guidelines,√,,√,,SUS,163
ESRS S2-1,19,"Due diligence policies on issues addressed by the fundamental  
International Labour Organization Conventions 1 to 8",,,√,,SUS,163
ESRS S2-4,36,Human rights issues and incidents connected to the upstream and downstream value chain,√,,,,SUS,166
ESRS S3-1,16,Human rights policy commitments,√,,,,N/M,
ESRS S3-1,17,"Non-respect of UNGPs on Business and Human Rights, ILO principles and OECD guidelines",√,,√,,N/M,
ESRS S3-4,36,Human rights issues and incidents,√,,,,N/M,
ESRS S4-1,16,Policies related to consumers and end-users,√,,,,N/M,
ESRS S4-1,17,Non-respect of UNGPs on Business and Human Rights and OECD guidelines,√,,√,,N/M,
ESRS S4-4,35,Human rights issues and incidents,√,,,,N/M,
ESRS G1-1,10 b,United Nations Convention against Corruption,√,,,,N/M,
ESRS G1-1,10 d,Protection of whistleblowers,√,,,,N/M,
ESRS G1-4,24 a,Fines for violation of anti-corruption and anti-bribery laws,√,,√,,N/M,
ESRS G1-4,24 b,Standards of anti-corruption and anti-bribery (applied concept),√,,,,N/M,
,SUS – Sustainability Statement; AR – Annual Report; N/A – Data point is not applicable; N/M – Data point is not material,,,,,,,
