0,1,2,3,4,5,6
Disclosure requirement,SFDR,,Benchmark regulation,"EU Climate 
Law",Applicable for,"Relevant 
page"
and related datapoint,reference,Pillar 3 reference,reference,reference,the Group,number
"ESRS E1-9 
Disaggregation of",n/a,"Article 449a Regulation (EU) 
No 575/2013; Commission",n/a,n/a,Yes,59
"monetary amounts by 
acute and chronic",,"Implementing Regulation 
(EU) 2022/2453 paragraphs",,,,
"physical risk paragraph 
66 (a) ESRS E1-9 Location",,"46 and 47; Template 5: 
Banking book - Climate",,,,
"of significant assets at 
material physical risk",,"change physical risk: 
Exposures subject to",,,,
paragraph 66 (c).,,physical risk.,,,,
"ESRS E1-9 
Breakdown of the",n/a,"Article 449a Regulation (EU) 
No 575/2013; Commission","Delegated Regulation 
(EU) 2020/1818, Annex I",n/a,Yes,57
"carrying value of its real 
estate assets by energy-",,"Implementing Regulation 
(EU) 2022/2453 paragraph",,,,
"efficiency classes 
paragraph 67 (c).",,"34; Template 2:Banking 
book -Climate change",,,,
,,"transition risk: Loans 
collateralised by immovable",,,,
,,"property - Energy efficiency 
of the collateral",,,,
"ESRS E2-4 
Amount of each pollutant",n/a,"Indicator number 8 Table #1 
of Annex 1 Indicator",n/a,n/a,"n/a - Not 
Material for",n/a
"listed in Annex II of the E-
PRTR Regulation",,"number 2 Table #2 of Annex 
1 Indicator number 1 Table",,,the Group,
"(European Pollutant 
Release and Transfer",,"#2 of Annex 1 Indicator 
number 3 Table #2 of Annex",,,,
"Register) emitted to air, 
water and soil, paragraph",,1,,,,
28,,,,,,
"ESRS E3-1 
Water and marine","Indicator 
number 7",n/a,n/a,n/a,"n/a - Not 
Material for",n/a
resources paragraph 9,"Table #2 of 
Annex 1",,,,the Group,
"ESRS E3-1 
Dedicated policy","Indicator 
number 8",n/a,n/a,n/a,"n/a - Not 
Material for",n/a
paragraph 13,"Table 2 of 
Annex 1",,,,the Group,
"ESRS E3-1 
Sustainable oceans and","Indicator 
number 12",n/a,n/a,n/a,"n/a - Not 
Material for",n/a
seas paragraph 14,"Table #2 of 
Annex 1",,,,the Group,
"ESRS E3-4 
Total water recycled and","Indicator 
number 6.2",n/a,n/a,n/a,"n/a - Not 
Material for",n/a
reused paragraph 28 (c),"Table #2 of 
Annex 1",,,,the Group,
"ESRS E3-4 
Total water consumption","Indicator 
number 6.1",n/a,n/a,n/a,"n/a - Not 
Material for",n/a
"in m3 per net revenue on 
own operations","Table #2 of 
Annex 1",,,,the Group,
paragraph 29,,,,,,
"ESRS 2- SBM 3 - E4 
paragraph 16 (a) i","Indicator 
number 7",n/a,n/a,n/a,"n/a - Not 
Material for",n/a
,Table #1 of,,,,the Group,
