0,1,2,3,4,5,6,7
Disclosure requirement,Data point,Sustainability statements / Appendix,SFDR,Pillar 3,"Bench-
mark
Regu-
lation","EU Cli-
mate Law",Section note
ESRS S1-1,22,Processes and measures for preventing trafficking in human beings,x,,,,S1-1 Policies related to own workforce
ESRS S1-1,23,Workplace accident prevention policy or management system,x,,,,S1-1 Policies related to own workforce
ESRS S1-3,32 c,Grievance/complaints handling mechanisms,x,,,,"S1-3 Processes to remediate negative impacts and channels 
for own workforce to raise concerns"
ESRS S1-14,"88 b, 88 c",Number of fatalities and number and rate of work-related accidents,x,,x,,S1-14 Health and safety metrics
ESRS S1-14,88 e,"Number of days lost to injuries, accidents, fatalities or illness",x,,,,S1-14 Health and safety metrics
ESRS S1-16,97 a,Unadjusted gender pay gap,x,,x,,S1-16 Compensation metrics (pay gap and total compensation)
ESRS S1-16,97 b,Excessive CEO pay ratio,x,,,,S1-16 Compensation metrics (pay gap and total compensation)
ESRS S1-17,103 a,Incidents of discrimination,x,,,,"S1-17 Incidents, complaints and severe human rights impacts"
ESRS S1-17,104 a,Non-respect of UNGPs on Business and Human Rights and OECD,x,,x,,"S1-17 Incidents, complaints and severe human rights impacts"
ESRS 2 SBM-3 – S2,11 b,Significant risk of child labour or forced labour in the value chain,x,,,,Not Material
ESRS S2-1,17,Human rights policy commitments,x,,,,Not Material
ESRS S2-1,18,Policies related to value chain workers,x,,,,Not Material
ESRS S2-1,19,"Non-respect of UNGPs on Business and Human Rights principles and 
OECD guidelines",x,,x,,Not Material
ESRS S2-1,19,"Due diligence policies on issues addressed by the fundamental International 
Labor Organisation Conventions 1 to 8",,,x,,Not Material
ESRS S2-4,36,"Human rights issues and incidents connected to its upstream and 
downstream value chain",x,,,,Not Material
ESRS S3-1,16,Human rights policy commitments,x,,,,Not Material
ESRS S3-1,17,"Non-respect of UNGPs on Business and Human Rights, ILO principles or 
and OECD guidelines",x,,x,,Not Material
ESRS S3-4,36,Human rights issues and incidents,x,,,,Not Material
ESRS S4-1,16,Policies related to consumers and end-users,x,,,,S4-1 Policies related to consumers and end-users
ESRS S4-1,17,"Non-respect of UNGPs on Business and Human Rights and 
OECD guidelines",x,,x,,S4-1 Policies related to consumers and end-users
