0,1,2,3,4,5,6,7,8
Cross-reference table,,,,,,,,
,,,,,,10 Principles,,TCFD-CDSB (3)
,,,,CSRD,,of the Global,,"(Climate Change 
Reporting"
,Universal Registration Document,,,(ESRS/DR),SDG  (1),Compact,GRI (2),Framework)
Chapter/,,,,,,,,
Section #,,Chapter/Section heading,,,,,,
2.,Environmental information,,,,,,,
2.1.,Climate Change,,,ESRS E1,,,,
2.1.1.,"Presentation 
of",the,"context,",E1.IRO-1,"7, 9, 11, 13",Principles  7-8-,GRI 102-15,REQ‑03
,"material 
impacts,",risks,and,E1.SBM-3,,9,GRI 305-5,REQ‑04
,opportunities,,,,,,GRI 302-5,REQ-06
2.1.2.,,Reducing and mitigating the carbon,,"E1-2 
including","7, 9, 11, 13",Principles  7-8-,GRI 305-1,REQ‑01
,"footprint, 
and",climate,change,MDR-P,,9,GRI 305-2,REQ‑02
,adaptation,,,E1-1,,,GRI 305-3,REQ‑04
,,,,"E1-4 
including",,,GRI 305-4,REQ‑05
,,,,MDR-T,,,GRI 305-5,REQ-11
,,,,"including
E1-3",,,GRI 302-1,REQ-12
,,,,MDR-A,,,GRI 302-3,
,,,,"E1-5 
including",,,GRI 302-4,
,,,,MDR-M,,,,
,,,,E1-8 including,,,GRI 302-5,
,,,,MDR-M,,,GRI 201-2,
,,,,"E1-7 
including",,,GRI 102-12,
,,,,MDR-M,,,GRI 308-1,
,,,,"E1-6 
including",,,GRI 308-2,
,,,,MDR-M,,,,
2.2.,Circular economy,,,ESRS E5,,,,
2.2.1.,"Presentation 
of",the,"context,",E5.IRO-1,"6, 11, 12, 15,",Principles  7-8-,GRI 102-15,REQ‑03
,"material 
impacts,",risks,and,E5.SBM-3,,9,GRI 306-2,REQ‑04
,opportunities,,,,,,GRI 308-2,REQ-06
2.2.2.,,Resource and waste management,,"E5-1 
including","6, 11, 12, 15",Principles  7-8-,GRI 301-1,REQ‑01
,,,,MDR-P,,9,GRI 306-2,REQ‑02
,,,,E5-2 including,,,GRI 306-4,REQ‑04
,,,,MDR-A,,,GRI 302-3,REQ‑05
,,,,E5-3 including,,,GRI 303-3,REQ-11
,,,,MDR-T,,,,
,,,,E1-4 including,,,GRI 308-1,REQ-12
,,,,MDR-M,,,GRI 308-2,
,,,,E5-5 including,,,,
,,,,MDR-M,,,,
2.3.,,Information beyond materiality,,,"14, 15",Principles 7-8-,GRI 304-1,
,,,,,,9,,
