0,1,2,3,4,5
Social standards – ESRS S1 “Own workforce”,,,Social standards – ESRS S4 “Consumers and end-users”,,
"Standard 
Disclosure requirement",Section/report,Additional,"Standard 
Disclosure requirement",Section/report,Additional
section,,information,section,,information
"S1-11
Social protection",S1-11 Social protection,,Targets related to managing material,S4-5 Targets related to managing material,
"S1-12
Persons with disabilities",S1-12 Persons with disabilities,,"negative impacts, advancing positive 
S4-5","negative impacts, advancing positive impacts,",
,,,"impacts, and managing material risks",and managing material risks and opportunities,
"S1-13
Training and skills development metrics",S1-13 Training and skills development metrics,,and opportunities,,
"S1-14
Health and safety metrics",S1-14 Health and safety metrics,,,,
"S1-15
Work-life balance metrics",S1-15 Work-life balance metrics,,Governance standards – ESRS G1 “Business conduct”,,
"Compensation metrics (pay gap and 
S1-16",S1-16 Compensation metrics (pay gap and,,"Standard 
Disclosure requirement",Section/report,Additional
total compensation),total compensation),,section,,information
"Incidents, complaints and severe human 
S1-17","S1-17 Incidents, complaints and severe",,,"GOV-1, GOV-2 The role of, information",
rights impacts,human rights impacts,,"ESRS 2, 
The role of the administrative, supervisory",provided to and sustainability matters,
,,,"GOV-1
and management bodies","addressed by the administrative, management",
,,,,and supervisory bodies,
Social standards – ESRS S4 “Consumers and end-users”,,,Description of the processes to identify,,
Standard,,Additional,"ESRS 2, 
and assess material impacts, risks","SBM-3 Material impacts, risks and",
"Disclosure requirement
section",Section/report,information,"IRO-1
and opportunities",opportunities related to business conduct,
"ESRS 2, 
Interests and views of stakeholders",S4-1 Policies related to consumers and end-,,"Business conduct policies and 
G1-1",G1-1 Business conduct policies and,
SBM-2,users,,corporate culture,corporate culture,
"Material impacts, risks and opportunities 
ESRS 2,","SBM-3 Material impacts, risks and",,"G1-2
Management of relationships with suppliers",G1-2 Management of relationships,
"and their interaction with strategy and 
SBM-3",opportunities related to consumers and end-,,,with suppliers,
business model,users,,Prevention and detection of corruption,,
Policies related to consumers and end-,S4-1 Policies related to consumers and end-,,"G1-3
and bribery",,Not material
"S4-1
users",users,,,,
,,,"G1-4
Incidents of corruption or bribery",,Not material
"Processes for engaging with consumers 
S4-2",S4-2 Processes for engaging with consumers,,"G1-5
Political influence and lobbying activites",,Not material
and end-users about impacts,and end-users about impacts,,,,
Processes to remediate negative impacts,S4-3 Processes to remediate negative impacts,,"G1-6
Payment practices",G1-6 Payment practices,
"S4-3
and channels for consumers and end-users",and channels for consumers and end-users to,,,,
to raise concerns,raise concerns,,,,
Taking action on material impacts on,S4-4 Taking action on material impacts on,,,,
"consumers and end-users, and approaches","consumers and end-users, and approaches to",,,,
"to managing material risks and pursuing 
S4-4",managing material risks and pursuing material,,,,
material opportunities related to consumers,opportunities related to consumers and end-,,,,
"and end-users, and effectiveness of","users, and effectiveness of those actions",,,,
those actions,,,,,
