0,1,2,3,4,5,6,7
continued: IRO-2 - Content index,,,,continued: IRO-2 - Content index,,,
"SECTION 
TOPIC",SUB-TOPIC - SUB-SUB-TOPIC,DISCLOSURE REQUIREMENT,PAGE NUMBER,"SECTION 
TOPIC",SUB-TOPIC - SUB-SUB-TOPIC,DISCLOSURE REQUIREMENT,PAGE NUMBER
,,ESRS 2 SBM-2 Interests and views of stakeholders,153,,,ESRS 2 SBM-2 Interests and views of stakeholders,153
,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",155,,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",155
,,S1-1 Policies related to own workforce,276,,,S2-1 Policies related to value chain workers,291
,,"S1-2 Processes for engaging with own workers and workers’ representatives 
about impacts",279,,Other work-related rights - Child,S2-2 Processes for engaging with value chain workers about impacts,291
,Equal treatment and opportunities,S1-4 Taking action on material impacts and approaches to mitigating material,,,labour,"S2-3 Processes to remediate negative impacts and channels for value chain 
workers to raise concerns",291
,"for all - Measures against violence 
and harassment in the workplace","risks and pursuing material opportunities related to own workforce, and 
effectiveness of those actions and approaches",280,,,"S2-4 Taking action on material impacts, and approaches to mitigating material",
,,"S1-5 Targets related to managing material impacts, advancing positive impacts,",,,,"risks and pursuing material opportunities related to value chain workers, and 
effectiveness of those actions and approaches",291
,,as well as to risks and opportunities,284,,,"S2-5 Targets related to managing material negative impacts, advancing positive",
,,S1-6 Characteristics of the Undertaking’s Employees,285,"ESRS S2 Workers in the value chain 
Social",,"impacts, and managing material risks and opportunities",292
,,"S1-7 Characteristics of non employee workers in the undertaking’s own 
workforce",287,information,,ESRS 2 SBM-2 Interests and views of stakeholders,153
,,"S1-17 Incidents, complaints and severe human rights impacts",290,,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",155
,,ESRS 2 SBM-2 Interests and views of stakeholders,153,,,S2-1 Policies related to value chain workers,291
,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",155,,,S2-2 Processes for engaging with value chain workers about impacts,291
,,S1-1 Policies related to own workforce,276,,"Other work-related rights - Forced 
labour",S2-3 Processes to remediate negative impacts and channels for value chain,291
,,S1-2 Processes for engaging with own workers and workers’ representatives,,,,"workers to raise concerns 
S2-4 Taking action on material impacts, and approaches to mitigating material",
,,about impacts,279,,,"risks and pursuing material opportunities related to value chain workers, and",291
,,"S1-4 Taking action on material impacts and approaches to mitigating material 
risks and pursuing material opportunities related to own workforce, and",280,,,effectiveness of those actions and approaches,
"ESRS S1 Own workforce 
Social 
information","Equal treatment and opportunities 
for all - Diversity",effectiveness of those actions and approaches,,,,"S2-5 Targets related to managing material negative impacts, advancing positive",292
,,"S1-5 Targets related to managing material impacts, advancing positive impacts,",284,,,"impacts, and managing material risks and opportunities",
,,as well as to risks and opportunities,,,,,
,,S1-6 Characteristics of the Undertaking’s Employees,285,,,,
,,"S1-7 Characteristics of non employee workers in the undertaking’s own 
workforce",287,,,,
,,S1-9 Diversity metrics,288,,,,
,,"S1-17 Incidents, complaints and severe human rights impacts",290,,,,
,,ESRS 2 SBM-2 Interests and views of stakeholders,153,,,,
,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",155,,,,
,,S1-1 Policies related to own workforce,276,,,,
,,"S1-2 Processes for engaging with own workers and workers’ representatives 
about impacts",279,,,,
,Other work-related rights - Privacy,"S1-4 Taking action on material impacts and approaches to mitigating material 
risks and pursuing material opportunities related to own workforce, and",280,,,,
,,"effectiveness of those actions and approaches 
S1-5 Targets related to managing material impacts, advancing positive impacts,",,,,,
,,as well as to risks and opportunities,284,,,,
,,S1-6 Characteristics of the Undertaking’s Employees,285,,,,
,,"S1-7 Characteristics of non employee workers in the undertaking’s own 
workforce",287,,,,
,,"S1-17 Incidents, complaints and severe human rights impacts",290,,,,
