0,1,2,3
ESRS Content index,,,
ESRS,Description,Section,Pag
ESRS 2  GENERAL DISCLOSURES,,,
BP-1,General basis for preparation of sustainability statements,BP-1 BP-2 IRO-2 Methodological note,73-74
BP-2,Disclosures in relation to specific circumstances,BP-1 BP-2 IRO-2 Methodological note,73-74
GOV-1,"The role of the administrative, supervisory and 
management bodies",GOV-1 GOV-2 The Governance System,78-87
GOV-2,"Information provided to and sustainability matters 
addressed by the undertaking’s administrative,",GOV-1 GOV-2 The Governance System,78-87
,management and supervisory bodies,,
GOV-3,"Integration of sustainability-related performance in 
incentive schemes",GOV-3 Sustainability performance in incentive systems,88-89
GOV-4,Statement on due diligence,"GOV-4 The Due Diligence Process of the ERG Group  
Anti-corruption: the commitment to ethical integrity","98;  
165-169"
GOV-5,"Risk management and internal controls over sustainability 
reporting",GOV-5 IRO-1 SBM-3 - Double Materiality,92-97
IRO-1,"Description of the process to identify and assess material 
impacts, risks and opportunities",GOV-5 IRO-1 SBM-3 - Double Materiality,92-97
IRO-2,"Disclosure requirements in ESRS covered by the 
undertaking’s sustainability statement",BP-1 BP-2 IRO-2 Methodological note,73-74
SBM-1,"Strategy, business model and value chain","SBM-1 Value chain and ESG strategy  
S1-6 Employees per Country","75-77; 
118"
SBM-2,Interests and views of stakeholders,SBM-2 Stakeholder engagement,152-153
SBM-3,"Material impacts, risks and opportunities and their 
interaction with strategy and business model",GOV-5 IRO-1 SBM-3 - Double Materiality,92-97
"E1 
CLIMATE CHANGE",,,
E1-1,Transition plan for climate change mitigation,"E1-1 E1-2 E1-3 E1-4 Transition Plan Policies and Actions 
Objectives",99-104
,Policies related to climate change mitigation and,"BP 2 Sustainability policies   
E1-1 E1-2 E1-3 E1-4 Transition Plan Policies and Actions",90-91;
E1-2,adaptation,Objectives,"99-104, 
108-109"
,,E1-2 The constant improvement of energy efficiency,
E1-3,Actions and resources in relation to climate change policies,"E1-1 E1-2 E1-3 E1-4 Transition Plan Policies and Actions 
Objectives",99-104
,Targets related to climate change mitigation and,"E1-1 E1-2 E1-3 E1-4 Transition Plan Policies and Actions 
Objectives",99-104;
E1-4,adaptation,E1-6 Emissions,"105-106; 
88-89"
,,GOV-3 Sustainability performance in incentive systems,
E1-5,Energy consumption and mix,E1-5 Renewable energy consumption,107
E1-6,"Gross Scopes 1, 2, 3 and Total GHG emissions",E1-6 Emissions,105-106
E1-7,"GHG removals and GHG mitigation projects financed 
through carbon credits",n.a,n.a
E1-8,Internal carbon pricing,n.a,n.a
,Anticipated financial effects from material physical and,"Climate change risk management (TCFD framework) 
E1-9 Anticipated financial effects from material physical",99-100;
E1-9,transition risks and potential climate-related opportunities,and transition risks and potential climate-related,101
,,opportunities,
ESRS 2 GOV-3 ESRS E1,Integration of sustainability-related performance in,"ESRS 2 GOV-3 ESRS E1 Climate-related remuneration 
policies",103;
,incentive schemes,GOV-3 Sustainability performance in incentive systems,88-89
