0,1,2
Disclosure Requirement,Section/Subsection,Page
ESRS E1– Climate change,,
E1.GOV-3 – Integration of sustainability-related performance in incentive schemes,Sustainability-related performance in incentive schemes,116
E1-1 – Transition plan for climate change mitigation,Transition plan for climate change mitigation,137
"E1.SBM-3 – Material impacts, risks and opportunities and their interaction with strategy and business 
model","Material impacts, risks and opportunities related to climate change",126-127
,Resilience analysis,128
"E1.IRO-1 – Description of the processes to identify and assess material climate-related impacts, risks and 
opportunities",Specifics of the IRO assessment in relation to climate change,108
E1-2 – Policies related to climate change mitigation and adaptation,"Management approaches to climate change mitigation, climate change adaptation, energy efficiency and 
renewable energy",129-132
E1-3 – Actions and resources in relation to climate change policies,Key actions for target achievement,135-136
E1-4 – Targets related to climate change mitigation and adaptation,Targets related to climate change,133-134
E1-5 – Energy consumption and mix,Energy consumption and mix,143-144
"E1-6 – Gross Scopes 1, 2, 3 and Total GHG emissions","Gross Scopes 1, 2 and 3 emissions and total GHG emissions",139-143
E1-7 – GHG removals and GHG mitigation projects financed through carbon credits,GHG removals and GHG mitigation projects financed through CO2 credits,145
E1-8 – Internal carbon pricing,Internal CO2 pricing system,138
ESRS E2 – Pollution,,
"E2.IRO-1 – Description of the processes to identify and assess material pollution-related impacts, risks and 
opportunities",Specifics of the IRO assessment in relation to pollution,108
E2-1 – Policies related to pollution,Management approaches to pollution prevention,148-151
E2-2 – Actions and resources related to pollution,Key actions for target achievement,151
E2-3 – Targets related to pollution,Targets related to pollution,151
E2-5 – Substances of concern and substances of very high concern,Substances of concern and substances of very high concern,152-153
ESRS E3 – Water and marine resources,,
"E3.IRO-1 – Description of the processes to identify and assess material water and marine resources-related 
impacts, risks and opportunities",Specifics of the IRO assessment in relation to water and marine resources,109
ESRS E4 – Biodiversity and ecosystems,,
E4-1 – Transition plan and consideration of biodiversity and ecosystems in strategy and business model,Consideration of biodiversity and ecosystems in the strategy and business model,158
"E4.SBM-3 – Material impacts, risks and opportunities and their interaction with strategy and business 
model",Further information on the IRO assessment in relation to biodiversity and ecosystems,155
"E4.IRO-1 – Description of the processes to identify and assess material biodiversity and ecosystem-related 
impacts, risks and opportunities",Specifics of the IRO assessment in relation to biodiversity and ecosystems,109
E4-2 – Policies related to biodiversity and ecosystems,Management approaches to biodiversity and ecosystems,155-157
E4-3 – Actions and resources related to biodiversity and ecosystems,Key actions for target achievement,157
E4-4 – Targets related to biodiversity and ecosystems,Targets related to biodiversity and ecosystems,157
ESRS E5 – Resource use and circular economy,,
"E5.IRO-1 – Description of the processes to identify and assess material resource use and circular economy-
related impacts, risks and opportunities",Specifics of the IRO assessment in relation to resource use and circular economy,109
