0,1,2,3
the referenced content of the disclosure requirements related to these topics.,,,
Contents,,,
ESRS,Description,Page,
ESRS 2,General disclosures,,
BP-1,General basis for preparation of the sustainability statements,58,
BP-2,Disclosures in relation to specific circumstances,58,
GOV-1,"The role of the administrative, management and supervisory bodies",66,
GOV-2,"Information provided to and sustainability matters addressed by the undertaking’s administrative, management and 
supervisory bodies","62, 66",
GOV-3,Integration of sustainability-related performance in incentive schemes,69,
GOV-4,Statement on sustainability due diligence,70,
GOV-5,Risk management and internal controls over sustainability reporting,70,
SBM-1,"Strategy, business model and value chain",59,
SBM-2,Interests and views of stakeholders,64,
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model","59, 62",
IRO-1,"Description of the processes to identify and assess material impacts, risks and opportunities","62, 66",
IRO-2,Disclosure Requirements in ESRS covered by the undertaking’s sustainability statements,169,
,European taxonomy on sustainable finance,,
,Disclosure of information under Article 8 of Regulation (EU) 2020/852 (Taxonomy Regulation).,"73, 160",
ESRS E1,Climate change,,
E1 GOV-3,Integration of sustainability-related performance in incentive schemes,78,
E1-1,Transition plan for climate change mitigation,79,
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model",80,
IRO-1,"Description of the processes to identify and assess material climate-related impacts, risks and opportunities",82,
E1-2,Policies related to climate change mitigation and adaptation,86,
E1-3,Actions and resources in relation to climate change policies,86,
E1-4,Targets related to climate change mitigation and adaptation,88,
E1-5,Energy consumption and mix,90,
E1-6,"Gross Scopes 1, 2, 3 and Total GHG emissions",91,
E1-7,GHG removals and GHG mitigation projects financed through carbon credits,94,
E1-8,Internal carbon pricing,94,
E1-9,Anticipated financial effects from material physical and transition risks and potential climate-related opportunities,95,
,Consolidated Management Report Fiscal Year 2024,,169
