0,1,2,3,4,5,6,7,8
"sustainability statement, following the outcome of the materiality assessment, including a table",,,,,,,,
of the datapoints that derive from other EU legislation.,,,,,,,,
Disclosure,Datapoint,Paragraph,SFDR,Pillar 3 reference,"Benchmark 
 
Regulation","EU Climate 
 
Law",Materiality,Page
requirement,,,reference,,reference,reference,,
IRO-2-56,IRO-2-56,IRO-2-56,IRO-2-56,IRO-2-56,IRO-2-56,IRO-2-56,IRO-2-56,
ESRS 2,,,,,,,,
,,,Indicator,,"Commission 
Delegated",,,
GOV-1,"Board's 
 
gender",paragraph,number 13 of,,Regulation,,material,22
,diversity,21 (d),"Table 1 of 
Annex 1",,"(EU) 
2020/181627,",,,
,,,,,Annex II,,,
,"Percentage of 
board",,,,"Delegated 
Regulation",,,
GOV-1,members,"paragraph 
 
21 (e)",,,(EU),,material,
,"who are 
independent",,,,"2020/1816, 
Annex II",,,
,Statement on,paragraph,"Indicator 
number 10",,,,,
GOV-4,due diligence,30,Table 3 of,,,,material,
,,,Annex 1,,,,,
,,,,"Article 449a 
Regulation (EU) No",,,,
,,,,"575/2013; 
Commission",,,,
,Involvement,,Indicators,"Implementing 
Regulation (EU)",Delegated,,,
SBM-1,"in activities 
 
related to",paragraph,number 4,2022/245328Table,"Regulation 
 
(EU)",,not material,30
,fossil fuel,40 (d) i,"Table 1 of 
Annex 1","1: Qualitative 
information on","2020/1816,",,,
,activities,,,Environmental risk,Annex II,,,
,,,,"and Table 2: 
Qualitative",,,,
,,,,"information on 
Social risk",,,,
,"Involvement 
in activities",,Indicator,,"Delegated 
Regulation",,,
SBM-1,related to,"paragraph 
 
40 (d) ii","number 9 
 
Table 2 of",,(EU),,not material,
,"chemical 
production",,Annex 1,,"2020/1816, 
Annex II",,,
,,,,,"Delegated 
Regulation",,,
,Involvement,,Indicator,,"(EU) 
2020/181829,",,,
SBM-1,"in activities 
 
related to",paragraph,number 14,,Article 12(1),,not material,
,controversial,40 (d) iii,"Table 1 of 
Annex 1",,"Delegated 
Regulation",,,
,weapons,,,,(EU),,,
,,,,,"2020/1816, 
Annex II",,,
,,,,,"Delegated 
Regulation",,,
,"Involvement 
in activities",,,,(EU),,,
,related to,paragraph,,,"2020/1818, 
Article 12(1)",,,
SBM-1,"cultivation 
and",40 (d) iv,,,Delegated,,not material,
,production of,,,,"Regulation 
(EU)",,,
,tobacco,,,,"2020/1816,",,,
,,,,,Annex II,,,
E1,,,,,,,,
