0,1,2,3,4,5,6,7,8
Disclosure,Data,,SFDR,Pillar 3,"Benchmark 
Regulation","EU Climate 
Law",,
Requirement,points,,reference,reference,reference,reference,Section,Page
ESRS S2-4,,"Taking action on material impacts 
on value chain workers, and",,,,,,
,,"approaches to managing material 
risks and pursuing material",,,,,,
,,"opportunities related to value 
chain workers, and effectiveness",,,,,,
,,of those actions,,,,,4.3.2.6,284
ESRS S2-4,36,"Human rights issues and incidents* 
connected to its upstream and",,,,,,
,,downstream value chain,,,,,4.3.2.6,285
ESRS S2-5,,"Targets related to managing 
material negative impacts,",,,,,,
,,"advancing positive impacts, 
and managing material risks",,,,,,
,,and opportunities,,,,,4.3.2.7,286
ESRS 2 SBM-2 S3,,"Interests and views of 
stakeholders",,,,,"Not 
material",
ESRS 2 SBM-3 S3,,"Material impacts, risks and 
opportunities and their interaction",,,,,,
,,with strategy and business model,,,,,"Not 
material",
ESRS S3-1,,"Policies related to affected 
communities",,,,,"Not 
material",
ESRS S3-1,16,Human rights policy commitments,x,,,,"Not 
material",
ESRS S3-1,17,"non-respect of UNGPs on Business 
and Human Rights, ILO principles",,,,,,
,,or and OECD guidelines,x,,,,"Not 
material",
ESRS S3-2,,"Processes for engaging with 
affected communities about",,,,,,
,,impacts,,,,,"Not 
material",
ESRS S3-3,,"Processes to remediate negative 
impacts and channels for affected",,,,,,
,,communities to raise concerns,,,,,"Not 
material",
ESRS S3-4,,"Taking action on material impacts 
on affected communities, and",,,,,,
,,"approaches to managing material 
risks and pursuing material",,,,,,
,,"opportunities related to affected 
communities, and effectiveness",,,,,Not,
,,of those actions,,,,,material,
ESRS S3-4,36,Human rights issues and incidents,x,,,,"Not 
material",
ESRS S3-5,,"Targets related to managing 
material negative impacts,",,,,,,
,,"advancing positive impacts, 
and managing material risks",,,,,Not,
,,and opportunities,,,,,material,
ESRS 2- SBM-2 S4,,"Interests and views 
of stakeholders",,,,,4.3.3.1,286
ESRS 2- SBM-3 S4,,"Material impacts, risks and 
opportunities and their interaction",,,,,,
,,with strategy and business model,,,,,4.3.3.2,286
