0,1,2,3,4,5,6
Disclosure requirement,1,2,"Benchmark 
3
Regulation","EU Climate 
4
Law",,
and related data point,"SFDR
 reference","Pillar 3
 reference",reference,reference,Outcome of DMA,Reference
"ESRS S1-1,
para. 23","Indicator no 1 Table #3 
Annex I",,,,material,240
"ESRS S1-3,
para. 32 (c)","Indicator no 5 Table #3 
Annex I",,,,material,245
"ESRS S1-14,
para. 88 (b) and (c)","Indicator no 2 Table #3 
Annex I",,"Regulation (EU) 
2020/1816,",,material,240
,,,Annex II,,,
"ESRS S1-14,
para. 88 (e)","Indicator no 3 Table #3 
Annex I",,,,material (phased-in),"not applicable 
(phased-in)"
"ESRS S1-16,
para. 97 (a)","Indicator no 12 Table #1 
of annex I",,"Regulation (EU) 
2020/1816,",,material,241
,,,Annex II,,,
"ESRS S1-16,
para. 97 (b)","Indicator no 8 Table #3 
Annex I",,,,material,241
"ESRS S1-17,
para. 103 (a)","Indicator no 7 Table #3 
Annex I",,,,material,243
"ESRS S1-17,
para. 104 (a)","Indicator no 10 Table #1 
and Indicator no 14",,"Regulation (EU) 
2020/1816,",,material,243
,Table #3 Annex I,,"Annex II 
Regulation (EU)",,,
,,,"2020/1818 Art 
12 (1)",,,
"ESRS 2-SBM 3 - S2, 
para. 11 (b)","Indicators no 12 and 13 
Table #3 Annex I",,,,material,250
"ESRS S2-1,
para. 17","Indicator no 9 Table #3  
Annex 1 and Indicator no",,,,material,251
,11 Table #1 Annex 1,,,,,
"ESRS S2-1,
para. 18","Indicators no 11 and no 4 
Table #3 Annex 1",,,,material,252
"ESRS S2-1,
para. 19","Indicator no 10 Table #1 
Annex 1",,"Regulation (EU) 
2020/1816,",,material,251
,,,"Annex II 
Regulation (EU)",,,
,,,"2020/1818, Art 
12 (1)",,,
"ESRS S2-1,
para. 19",,,"Regulation (EU) 
2020/1816,",,material,251
,,,Annex II,,,
"ESRS S2-4,
para. 36","Indicator no 14 Table #3 
Annex 1",,,,material,254
"ESRS S3-1,
para. 16","Indicator no 9 Table #3 
Annex 1 and Indicator no",,,,not material,not applicable
,11 Table #1 Annex 1,,,,,
"ESRS S3-1,
para. 17","Indicator no 10 Table #1 
Annex 1",,"Regulation (EU) 
2020/1816,",,not material,not applicable
,,,"Annex II 
Regulation (EU)",,,
,,,"2020/1818, Art 
12 (1)",,,
"ESRS S3-4,
para. 36","Indicator no 14 Table #3 
Annex 1",,,,not material,not applicable
"ESRS S4-1,
para. 16","Indicator no 9 Table #3 
and Indicator no 11 Table",,,,not material,not applicable
,#1 Annex 1,,,,,
"ESRS S4-1,
para. 17","Indicator no 10 Table #1 
Annex 1",,"Regulation (EU) 
2020/1816,",,not material,not applicable
,,,"Annex II  
Regulation (EU)",,,
,,,"2020/1818, Art 
12 (1)",,,
"ESRS S4-4,
para. 35","Indicator no 14 Table #3 
Annex 1",,,,not material,not applicable
"ESRS G1-1,
para. 10 (b)","Indicator no 15 Table #3 
Annex 1",,,,material,not applicable
"ESRS G1-1,
para. 10 (d)","Indicator no 6 Table #3 
Annex 1",,,,material,not applicable
