0,1
ESRS Index,
,Description
ESRS 2 General Disclosures,
BP-1,► Basis for preparation
BP-2,► Disclosures in relation to specific circumstances
GOV-1,"► The role of administrative, management and supervisory bodies"
GOV-2,► Oversight of sustainability IROs
GOV-3,► Sustainability matters addressed by management
GOV-4,► Statement on sustainability due diligence
GOV-5,► Sustainability reporting risk management
SBM-1,"► Strategy, business model, and value chain"
SBM-2,► Interests and views of stakeholders
SBM-3,► Double materiality assessment result
IRO-1,► Double materiality assessment process
IRO-2,► Disclosure requirements covered by the Sustainability Statement
E1 Climate change,
"E1, GOV-3",► Sustainability-related incentive schemes
E1-1,► Transition plan for climate change mitigation
"E1, SBM-3",► Material IROs and their interaction with strategy and business model
"E1, IRO-1",► Description of the processes to identify and assess material climate-related IROs
E1-2,► Policies related to climate change mitigation and adaptation
E1-3,► Action and resources in relation to climate change policies
E1-4,► Targets related to climate change mitigation and adaptation
E1-5,► Energy consumption and mix
E1-6,"► Gross Scope 1, 2, 3 and total GHG emissions"
E1-7,► GHG removals and GHG mitigation projects financed through carbon credits
E1-8,► Internal carbon pricing
E2 Pollution,
"E2, SBM-3",► Material IROs and their interaction with strategy and business model
"E2, IRO-1",► Description of the processes to identify and assess material pollution-related IROs
E2-1,► Policies related to pollution
E2-2,► Actions and resources related to pollution
E2-3,► Targets related to pollution
"Entity-
specific",► Wastewater discharge and chemical input related metrics
E3 Water & marine resources,
"E3, SBM-3",► Material IROs and their interaction with strategy and business model
"E3, IRO-1","► Description of the processes to identify and assess material water and marine resource-related 
 
 
IROs"
E3-1,► Policies related to water and marine resources
E3-2,► Actions and resources related to water and marine resources
E3-3,► Targets related to water and marine resources
"Entity-
specific",► Water-consumption-related metrics
E4 Biodiversity & ecosystems,
E4-1,► Transition plan and consideration of biodiversity and ecosystems in strategy and business model
"E4, SBM-3",► Material IROs and their interaction with strategy and business model
"E4, IRO-1","► Description of the processes to identify and assess material biodiversity and ecosystem-related 
 
 
IROs"
