0,1
"S4-5 Targets related to managing material negative impacts,",Social information - 3.4 End users in the value chain (see
"advancing positive impacts, and managing material risks and",page 130-131)
opportunities,
ESRS G1 BUSINESS CONDUCT,
"GOV-1 The role of the administrative, management and",General information - 1.2 Governance (see page 90)
supervisory bodies,
IRO-1 Description of the processes to identify and assess,Governance information - 4.1.1 Exor's Governance (see
"material impacts, risks and opportunities",page 133)
G1-1 Business conduct policies and corporate culture,Governance information - 4.1.1 Exor's Governance (see
,page 133-143)
