0,1,2,3,4,5,6
Disclosure requirement,SFDR,,Benchmark regulation,"EU Climate 
Law",Applicable for,"Relevant 
page"
and related datapoint,reference,Pillar 3 reference,reference,reference,the Group,number
"ESRS S2-1
Human rights policy","Indicator 
number 9",n/a,n/a,n/a,Yes,103
"commitments paragraph 
17","Table #3 
and",,,,,
,"Indicator 
n. 11 Table",,,,,
,"#1 of Annex 
1",,,,,
"ESRS S2-1 
Policies related to value","Indicator 
number 11",n/a,n/a,n/a,Yes,101
"chain workers paragraph 
18","and n. 4 
Table #3 of",,,,,
,Annex 1,,,,,
"ESRS S2-1
Non-respect of UNGPs on","Indicator 
number 10",n/a,"Delegated Regulation 
(EU) 2020/1816, Annex II",n/a,Yes,"102, 104"
"Business and Human 
Rights principles and","Table #1 of 
Annex 1",,"Delegated Regulation 
(EU) 2020/1818, Art 12 (1)",,,
"OECD guidelines 
paragraph 19",,,,,,
"ESRS S2-1
Due diligence policies on",n/a,n/a,"Delegated Regulation 
(EU) 2020/1816, Annex II",n/a,Yes,"101, 103"
"issues addressed by the 
fundamental",,,,,,
"International Labor 
Organisation Conventions",,,,,,
"1 to 8, paragraph 19",,,,,,
"ESRS S2-4
Human rights issues and","Indicator 
number 14",n/a,n/a,n/a,Yes,"102, 103"
"incidents connected to its 
upstream and","Table #3 of 
Annex 1",,,,,
"downstream value chain 
paragraph 36",,,,,,
"ESRS S3-1
Human rights policy","Indicator 
number 9",n/a,n/a,n/a,Yes,114
"commitments paragraph 
16","Table #3 of 
Annex 1",,,,,
,"and 
Indicator",,,,,
,"number 11 
Table #1 of",,,,,
,Annex 1,,,,,
"ESRS S3-1
Non-respect of UNGPs on","Indicator 
number 10",n/a,"Delegated Regulation 
(EU) 2020/1816, Annex II",n/a,Yes,114
"Business and Human 
Rights, ILO principles or","Table #1 
Annex 1",,"Delegated Regulation 
(EU) 2020/1818, Art 12 (1)",,,
"OECD guidelines 
paragraph 17",,,,,,
"ESRS S3-4
Human rights issues and","Indicator 
number 14",n/a,n/a,n/a,Yes,109
incidents paragraph 36,"Table #3 of 
Annex 1",,,,,
