0,1,2,3,4,5,6
List of material disclosure requirements,,Page,List of material disclosure requirements,,Page,
E1-3,Actions and resources in relation to climate change policies,"63, 64",E4-2,Policies related to biodiversity and ecosystems,71,
E1-4,Targets related to climate change mitigation and adaptation,"64, 65",E4-3,Actions and resources related to biodiversity and ecosystems,71,
E1-5,Energy consumption and mix,65,E4-4,Targets related to biodiversity and ecosystems,71,
E1-6,"Gross Scopes 1, 2, 3 and Total GHG emissions",66,E4-5,Impact metrics related to biodiversity and ecosystems change,Not material,
E1-7,GHG removals and GHG mitigation projects financed through carbon credits,Not material,,Anticipated financial effects from biodiversity and ecosystem-related risks,,
E1-8,Internal carbon pricing,Not material,E4-6,and opportunities,Phase-in,
,"Anticipated financial effects from material physical and transition risks and 
potential climate-related opportunities",Phase-in,,,,
E1-9,,,E5 – Resource use and circular economy,,,
,,,,"Description of the processes to identify and assess material resource use and 
circular economy-related impacts, risks and opportunities","49, 50, 52",
E2 - Pollution,,,IRO-1,,,
,Description of the processes to identify and assess material pollution-related,,E5-1,Policies related to resource use and circular economy,73,
ESRS 2 IRO-1,"impacts, risks and opportunities","49, 50, 52",E5-2,Actions and resources related to resource use and circular economy,73,
E2-1,Policies related to pollution,"68, 69",E5-3,Targets related to resource use and circular economy,73,
E2-2,Actions and resources related to pollution,69,E5-4,Resource inflow,Not material,
E2-3,Targets related to pollution,69,E5-5,Resource outflows,"72, 73, 74",
E2-4,"Pollution of air, water and soil",Not material,,Anticipated financial effects from resource use and circular economy-related,,
E2-5,Substances of concern and substances of very high concern,69,E5-6,"impacts, risks and opportunities",Phase-in,
,"Anticipated financial effects from pollution-related impacts, risks and oppor-
tunities",Phase-in,,,,
E2-6,,,S1 – Own workforce,,,
,,,ESRS 2 SBM-2,Interests and views of stakeholders,"45, 46, 47",
E4 - Biodiversity and ecosystems,,,,"Material impacts, risks and opportunities and their interaction with strategy 
and business mode","56, 84, 85, 87",
,Transition plan and consideration of biodiversity and ecosystems in strategy,,ESRS 2 SBM-3,,,
E4-1,and business model,71,S1-1,Policies related to own workforce,"81, 84, 85, 87",
,"Material impacts, risks and opportunities and their interaction with strategy",,S1-2,Processes for engaging regarding impacts,"82, 84, 87",
ESRS 2 SBM-3,and business model,"55, 71",S1-3,Processes to remediate negative impacts and raise concerns,"82, 84, 85, 88",
,"Description of processes to identify and assess material biodiversity and 
ecosystem-related impacts, risks and opportunities","49, 50, 52",S1-4,Taking action on material impacts on own workforce,"84, 85, 88",
ESRS 2 IRO-1,,,,,,
Bavarian Nordic,Annual Report 2024,,,,,104
