0,1,2
G1-4,Standards of anti- corruption and anti- bribery,
,"paragraph 24 (b) 
335-336",X
T,he following DRs have not been included because the Group has decided to omit the information for this,
"year, as defined in Appendix C ESRS 1, or because they resulted as not material for Cementir.",,
ESRS,ESRS Description,Reason for exclusion
Code,,
E1-7,GHG removals and GHG mitigation projects financed through carbon,"Not  applicable,  because  the  Group"
,credits,is not working with carbon credits
E1-9,Anticipated financial effects from material physical and transition risks,Phase-in option
,and potential climate-related opportunities,
E2-6,"Anticipated financial effects from pollution-related impacts, risks",Phase-in option
E2-5,Substances of concern and substances of very high concern,Not material
E3-5,Anticipated financial  effects from water and marine resources-related,Phase-in option
,"impacts, risks and opportunities",
E4-6,Anticipated  financial  effects  from  biodiversity  and  ecosystem-related,Phase-in option
,"impacts, risks and opportunities",
E5-6,Anticipated financial effects from resource use and circular economy-,Phase-in option
,"related impacts, risks and opportunities",
G1-2,Management of relationships with suppliers,Not material
G1-5,Political influence and lobbying activities,Not material
G1-6,Payment practices,Not material
