0,1
ESRS 2 – SBM-3 – E4 paragraph 16 (a) i,Not material
ESRS 2 – SBM-3 – E4 paragraph 16 (b),Not material
ESRS 2 – SBM-3 – E4 paragraph 16 (c),Not material
ESRS E4-2 Sustainable land/agriculture practices or policies paragraph 24 (b),Not material
ESRS E4-2 Sustainable oceans/seas practices or policies paragraph 24 (c),Not material
ESRS E4-2 Policies to address deforestation paragraph 24 (d),Not material
ESRS E5-5 Non-recycled waste paragraph 37 (d),Not material
ESRS E5-5 Hazardous waste and radioactive waste paragraph 39,Not material
ESRS 2 SBM3 – S1 Risk of forced labor paragraph 14(f),Not reported
ESRS 2 SBM3 – S1 Risk of child labor paragraph 14(g),Not reported
ESRS S1-1 Commitments related to human rights policy paragraph 20,Respect for human rights
"ESRS S1-1 Regulations regarding due diligence assessments in relation to the matters addressed in Conventions 1 to 8 of the International  
Labor Organization paragraph 21",Respect for human rights
ESRS S1-1 Processes and actions to combat human trafficking paragraph 22,Respect for human rights
ESRS S1-1 Policies or management system to prevent accidents at work paragraph 23,Policies related to own workforce
ESRS S1-3 Processing of complaints paragraph 32(c),Not reported
ESRS S1-14 Number of fatalities and number and rate of accidents at work paragraph 88 (b) and (c),Health and safety metrics
"ESRS S1-14 Number of missed working days caused by injury, accidents, fatal accidents or illness paragraph 88(e)",Health and safety metrics
"ESRS S1-16 Unadjusted, gender-specific pay gap paragraph 97(a)",Remuneration metrics (pay gap and total remuneration)
ESRS S1-16 Excessive remuneration of board members paragraph 97(b),Remuneration metrics (pay gap and total remuneration)
ESRS S1-17 Cases of discrimination paragraph 103(a),"Incidents, complaints and severe human rights impacts"
"ESRS S1-17 Failure to adhere to the United Nations (UN) Guiding Principles on Business and Human Rights and the OECD Guidelines paragraph 
104(a)","Incidents, complaints and severe human rights impacts"
ESRS 2 SBM3 – S2 Significant risk of child labor or forced labor in the value chain paragraph 11(b),Workers in the value chain
ESRS S2-1 Commitments related to human rights policy paragraph 17,Policies related to value chain workers
ESRS S2-1 Policies related to value chain workers paragraph 18,Policies related to value chain workers
ESRS S2-1 Failure to adhere to the United Nations (UN) Guiding Principles on Business and Human Rights and the OECD Guidelines paragraph 19  Policies related to value chain workers,
"ESRS S2-1 Regulations regarding due diligence assessments in relation to the matters addressed in Conventions 1 to 8 of the International Labor 
Organization paragraph 19",Policies related to value chain workers
ESRS S2-4 Human rights issues and incidents connected to upstream and downstream value chain paragraph 36,Managing material impacts
ESRS S3-1 Human rights policy commitments paragraph 16,Not material
"121 
DHL Group –2024 Annual Report",
