0,1,2,3
4.1.5.3  List of datapoints in cross-cutting and topical standards that derive from other EU,,,
legislation,,,
Disclosure Requirement and related datapoint,SFDR reference,Pillar 3 reference,"EU Climate Law 
Benchmark Regulation reference
reference"
"ESRS 2 GOV-1
Board's gender diversity paragraph 21 (d)","Indicator number 13 
of Table #1",,"Commission Delegated Regulation (EU) 
2020/1816, Annex II"
,of Annex 1,,
"ESRS 2 GOV-1
Percentage of board members who are",,,"Delegated Regulation (EU) 2020/1816,
 Annex II"
independent paragraph 21 (e),,,
"ESRS 2 GOV-4
Statement on due diligence paragraph 30","Indicator number 10 
Table #3 of Annex 1",,
"ESRS 2 SBM-1
Involvement in activities related to fossil fuel","Indicators number 4 
Table #1 of Annex 1","Article 449a 
Regulation (EU) No","Delegated Regulation (EU) 2020/1816, 
Annex II"
activities paragraph 40 (d) i,,"575/2013;
Commission",
,,"Implementing 
Regulation (EU)",
,,"2022/2453 (6)Table 
1: Qualitative",
,,"information on 
Environmental risk",
,,"and Table 2: 
Qualitative",
,,"information on Social 
risk",
ESRS 2 SBM-1,Indicator number 9,,"Delegated Regulation (EU) 2020/1816,"
