0,1,2,3,4,5,6
Disclosure requirement,SFDR,,Benchmark regulation,"EU Climate 
Law",Applicable for,"Relevant 
page"
and related datapoint,reference,Pillar 3 reference,reference,reference,the Group,number
"ESRS E1-4 
Greenhouse gas (GHG)","Indicator 
number 4","Article 449a Regulation (EU) 
No 575/2013; Commission","Delegated Regulation 
(EU) 2020/1818, Article 6",n/a,Yes,68
"emission reduction 
targets paragraph 34","Table #2 of 
Annex 1","Implementing Regulation 
(EU) 2022/2453 Template 3:",,,,
,,"Banking book – Climate 
change transition risk:",,,,
,,alignment metrics,,,,
"ESRS E1-5 
Energy consumption","Indicator 
number 5",n/a,n/a,n/a,"n/a - Group is 
a Financial",n/a
"from fossil sources 
disaggregated by sources","Table #1 
and",,,,"Institution and 
does not",
"(only high climate impact 
sectors) paragraph 38","Indicator n. 
5 Table #2",,,,"belong to High 
climate impact",
,of Annex 1,,,,sectors,
"ESRS E1-5 
Energy consumption and","Indicator 
number 5",n/a,n/a,n/a,Yes,81
mix paragraph 37,"Table #1 of 
Annex 1",,,,,
"ESRS E1-5 
Energy intensity","Indicator 
number 6",n/a,n/a,n/a,"n/a - Group is 
a Financial",n/a
"associated with activities 
in high climate impact","Table #1 of 
Annex 1",,,,"Institution and 
does not",
"sectors paragraphs 40 to 
43",,,,,"belong to High 
climate impact",
,,,,,sectors,
"ESRS E1-6 
Gross Scope 1, 2, 3 and","Indicators 
number 1","Article 449a; Regulation (EU) 
No 575/2013; Commission","Delegated Regulation 
(EU) 2020/1818, Article",n/a,Yes,72
"Total GHG emissions 
paragraph 44","and 2 Table 
#1 of Annex","Implementing Regulation 
(EU) 2022/2453 Template 1:","5(1), 6 and 8(1)",,,
,,"Banking book – Climate 
change transition risk:",,,,
,,"Credit quality of exposures 
by sector, emissions and",,,,
,,residual maturity,,,,
"ESRS E1-6 
Gross GHG emissions","Indicators 
number 3","Article 449a Regulation (EU) 
No 575/2013; Commission","Delegated Regulation 
(EU) 2020/1818, Article",n/a,Yes,72
"intensity paragraphs 53 
to 55","Table #1 of 
Annex 1","Implementing Regulation 
(EU) 2022/2453 Template 3:",8(1),,,
,,"Banking book – Climate 
change transition risk:",,,,
,,alignment metrics,,,,
"ESRS E1-7 
GHG removals and",n/a,n/a,n/a,"Regulation 
(EU)","Group does 
not participate",81
"carbon credits paragraph 
56",,,,"2021/1119, 
Article 2(1)","in any carbon 
removal and",
,,,,,"carbon credit 
program",
"ESRS E1-9 
Exposure of the",n/a,n/a,"Delegated Regulation 
(EU) 2020/1818, Annex II",n/a,Yes,59
"benchmark portfolio to 
climate-related physical",,,"Delegated Regulation 
(EU) 2020/1816, Annex II",,,
risks paragraph 66,,,,,,
