0,1,2,3,4,5,6
Disclosure requirement,SFDR,,Benchmark regulation,"EU Climate 
Law",Applicable for,"Relevant 
page"
and related datapoint,reference,Pillar 3 reference,reference,reference,the Group,number
"ESRS S1-1
Processes and measures","Indicator 
number 11",n/a,n/a,n/a,Yes,88
"for preventing trafficking 
in human beings","Table #3 of 
Annex I",,,,,
paragraph 22,,,,,,
"ESRS S1-1
Workplace accident","Indicator 
number 1",n/a,n/a,n/a,Yes,88
"prevention policy or 
management system","Table #3 of 
Annex I",,,,,
paragraph 23,,,,,,
"ESRS S1-3
Grievance/complaints","Indicator 
number 5",n/a,n/a,n/a,Yes,90
"handling mechanisms 
paragraph 32 (c)","Table #3 of 
Annex I",,,,,
"ESRS S1-14
Number of fatalities and","Indicator 
number 2",n/a,"Delegated Regulation 
(EU) 2020/1816, Annex II",n/a,"n/a - Not 
Material for",n/a
"number and rate of work-
related accidents","Table #3 of 
Annex I",,,,the Group,
paragraph 88 (b) and (c),,,,,,
"ESRS S1-14
Number of days lost to","Indicator 
number 3",n/a,n/a,n/a,"n/a - Not 
Material for",n/a
"injuries, accidents, 
fatalities or illness","Table #3 of 
Annex I",,,,the Group,
paragraph 88 (e),,,,,,
"ESRS S1-16
Unadjusted gender pay","Indicator 
number 12",n/a,"Delegated Regulation 
(EU) 2020/1816, Annex II",n/a,Yes,99
gap paragraph 97 (a),"Table #1 of 
Annex I",,,,,
"ESRS S1-16
Excessive CEO pay ratio","Indicator 
number 8",n/a,n/a,n/a,Yes,99
paragraph 97 (b),"Table #3 of 
Annex I",,,,,
"ESRS S1-17
Incidents of","Indicator 
number 7",n/a,n/a,n/a,Yes,99
"discrimination paragraph 
103 (a)","Table #3 of 
Annex I",,,,,
"ESRS S1-17 
Non-respect of UNGPs on","Indicator 
number 10",n/a,"Delegated Regulation 
(EU) 2020/1816, Annex II",n/a,Yes,99
"Business and Human 
Rights and OECD","Table #1 
and",,"Delegated Regulation 
(EU) 2020/1818 Art 12 (1)",,,
"Guidelines paragraph 104 
(a)","Indicator 
n. 14 Table",,,,,
,"#3 of 
Annex I",,,,,
"ESRS 2- SBM3 – S2
Significant risk of child","Indicators 
number 12",n/a,n/a,n/a,Yes,101
"labour or forced labour in 
the value chain","and n. 13 
Table #3 of",,,,,
paragraph 11 (b),Annex I,,,,,
