0,1,2,3,4,5,6
"ESRS S1-1
Processes and measures 
for preventing trafficking 
in human beings 
paragraph 22","Indicator 
number 11 
Table #3 of 
Annex I",n/a,n/a,n/a,Yes,88
"ESRS S1-1
Workplace accident 
prevention policy or 
management system 
paragraph 23","Indicator 
number 1 
Table #3 of 
Annex I",n/a,n/a,n/a,Yes,88
"ESRS S1-3
Grievance/complaints 
handling mechanisms 
paragraph 32 (c)","Indicator 
number 5 
Table #3 of 
Annex I",n/a,n/a,n/a,Yes,90
"ESRS S1-14
Number of fatalities and 
number and rate of work-
related accidents 
paragraph 88 (b) and (c)","Indicator 
number 2 
Table #3 of 
Annex I",n/a,"Delegated Regulation 
(EU) 2020/1816, Annex II",n/a,"n/a - Not 
Material for 
the Group",n/a
"ESRS S1-14
Number of days lost to 
injuries, accidents, 
fatalities or illness 
paragraph 88 (e)","Indicator 
number 3 
Table #3 of 
Annex I",n/a,n/a,n/a,"n/a - Not 
Material for 
the Group",n/a
"ESRS S1-16
Unadjusted gender pay 
gap paragraph 97 (a)","Indicator 
number 12 
Table #1 of 
Annex I",n/a,"Delegated Regulation 
(EU) 2020/1816, Annex II",n/a,Yes,99
"ESRS S1-16
Excessive CEO pay ratio 
paragraph 97 (b)","Indicator 
number 8 
Table #3 of 
Annex I",n/a,n/a,n/a,Yes,99
"ESRS S1-17
Incidents of 
discrimination paragraph 
103 (a)","Indicator 
number 7 
Table #3 of 
Annex I",n/a,n/a,n/a,Yes,99
"ESRS S1-17 
Non-respect of UNGPs on 
Business and Human 
Rights and OECD 
Guidelines paragraph 104 
(a)","Indicator 
number 10 
Table #1 
and 
Indicator 
n. 14 Table 
#3 of 
Annex I",n/a,"Delegated Regulation 
(EU) 2020/1816, Annex II 
Delegated Regulation 
(EU) 2020/1818 Art 12 (1)",n/a,Yes,99
"ESRS 2- SBM3 – S2
Significant risk of child 
labour or forced labour in 
the value chain 
paragraph 11 (b)","Indicators 
number 12 
and n. 13 
Table #3 of 
Annex I",n/a,n/a,n/a,Yes,101
