0,1,2,3,4,5,6
,List of datapoints that derive from other EU legislation,,,,,
DISCLOSURE REQUIREMENT,SFDR REFERENCE,PILLAR 3 REFERENCE,BENCHMARK REGULATION,EU CLIMATE LEGISLATION,"MATERIAL/
NOT",PAGE
AND RELATED DATAPOINT,,,REFERENCE,REFERENCE,MATERIAL,NUMBER
"ESRS 2 GOV-1
Board's gender diversity",Indicator number 13,,"Commission Delegated 
Regulation (EU) 2020/1816 (5),",,Material,204; 210
paragraph 21 (d),of Table #1 of Annex I,,Annex II,,,
"ESRS 2 GOV-1
Percentage of board",,,Delegated Regulation (EU),,,
members who are,,,"2020/1816, Annex II",,Material,204; 210
independent paragraph 21 (e),,,,,,
"ESRS 2 GOV-4 
Statement on due diligence",Indicator number 10,,,,Material,215
paragraph 30,of Table #3 of Annex I,,,,,
,,"Article 449a Regulation 
(EU) No 575/2013;",,,,
ESRS 2 SBM-1,,"Commission 
Implementing",,,,
"Involvement in activities 
related to fossil fuel activities","Indicator number 4 of 
Table #1 of Annex I",Regulation (EU),"Delegated Regulation (EU) 
2020/1816, Annex II",,Not material,
paragraph 40 (d) i,,"2022/2453 (6)Table 1 – 
Qualitative information",,,,
,,"on environmental risk 
and Table 2",,,,
"ESRS 2 SBM-1
Involvement in activities",Indicator number 14,,"Delegated Regulation (EU) 
2020/1818 (7) , Article 12(1)",,,
related to controversial,of Table #1 of Annex I,,Delegated Regulation (EU),,Not material,
weapons paragraph 40 (d) iii,,,"2020/1816, Annex II",,,
"ESRS 2 SBM-1
Involvement in activities",,,Delegated Regulation (EU),,,
related to cultivation and,,,"2020/1818, Article 12(1) 
Delegated Regulation (EU)",,Not material,
"production of tobacco 
paragraph 40 (d) iv",,,"2020/1816, Annex II",,,
"ESRS E1-1
Transition plan to reach",,,,"Regulation (EU) 2021/1119,",,
climate neutrality by 2050,,,,Article 2(1),Material,232
paragraph 14,,,,,,
,,"Article 449a; 
Regulation (EU)",,,,
,,"No 575/2013; 
Commission",,,,
ESRS E1-1,,"Implementing 
Regulation (EU)",Delegated Regulation (EU),,,
"Undertakings excluded from 
Paris-aligned Benchmarks",,2022/2453 Template,"2020/1818, Article 12.1 (d) to",,Not material,
paragraph 16 (g),,"1: Banking book 
– Climate change","(g), and Article 12.2",,,
,,"transition risk: Credit 
quality of exposures by",,,,
,,"sector, emissions and 
residual maturity",,,,
,,"Article 449a Regulation 
(EU) No 575/2013;",,,,
ESRS E1-4,Indicator number 4 of,"Commission 
Implementing",Delegated Regulation (EU),,,
"GHG emission reduction 
targets paragraph 34",Table #2 of Annex I,Regulation (EU),"2020/1818, Article 6",,Material,241
,,2022/2453 Template,,,,
