0,1,2,3,4,5,6
Our business,"Sustainability statement
Financial statements
Auditor and management statements","Additional information
Related to the Sustainability statement",,,,
GOV-4,,,,,,
Statement on due diligence,,,,,,
Page references – Sustainability statement,Disclosure relating to,Page references – Sustainability statement,,,,Disclosure relating to
Due diligence element,"Disclosure requirement
Page
People
Environment",Due diligence element,Disclosure requirement,Page,People,Environment
"a) 
Embedding due diligence 
in governance, strategy and","ESRS 2 GOV-2
48, 63
⚫
⚫","c)
Identifying and assessing 
adverse impacts",ESRS 2 IRO-1,64,⚫,⚫
business model,"ESRS 2 GOV-3
46
⚫
⚫",,ESRS 2 SBM-3 48f,66,⚫,⚫
,"ESRS 2 SBM-3 48f
66
⚫
⚫",,ESRS 2 SBM-3-E1,73,,⚫
,"ESRS 2 SBM-3-E1
73
⚫",,ESRS 2 SBM-3-E3,81,,⚫
,"ESRS 2 SBM-3-E3
81
⚫",,ESRS 2 SBM-3-E4,84,,⚫
,"ESRS 2 SBM-3-E4
84
⚫",,ESRS 2 SBM-3-E5,86,,⚫
,"ESRS 2 SBM-3-E5
86
⚫",,ESRS 2 SBM-3-S1,"75, 99, 102, 107",⚫,
,"ESRS 2 SBM-3-S1
75, 99, 102, 107
⚫",,ESRS 2 SBM-3-S2,112,⚫,
,"ESRS 2 SBM-3-S2
112
⚫",,ESRS 2 SBM-3-S3,117,⚫,
,"ESRS 2 SBM-3-S3
117
⚫",,ESRS 2 SBM-3-G1,124,⚫,⚫
,"ESRS 2 SBM-3-G1
124
⚫
⚫","d)
Taking actions to address",E1-1,72,,⚫
"b)
Engaging with affected","ESRS 2 GOV-2
48, 63
⚫
⚫",those adverse impacts,ESRS MDR-A/E1-3,75,,
"stakeholders in all key steps of 
the due diligence","ESRS 2 SBM-2
67
⚫
⚫",,ESRS MDR-A/E3-2,82,,⚫
,"ESRS 2 IRO-1
64
⚫
⚫",,E4-1,83,,
,"ESRS 2 MDR-P/E1-2
75
⚫",,E4-3,85,,
,"E3-1
82
⚫",,ESRS MDR-A/E5-2,88,,
,"E4-2
85
⚫",,ESRS MDR-A/S1-4,"100, 104, 109",⚫,
,"E5-1
87
⚫",,ESRS 2 MDR-A/S2-4,115,,
,"ESRS 2 MDR-P/S1-1
100, 103, 108
⚫",,ESRS 2 MDR-A/S3-4,120,,
,"S1-2
103, 110
⚫",,G1-1,125,⚫,⚫
,"S2-1
114
⚫",,G1-2,118,⚫,⚫
,"S2-2
114
⚫",,G1-3,126,⚫,⚫
,"S3-1
118
⚫",,ESRS 2 MDR-A/Transparent tax,129,⚫,
,"S3-2
119
⚫",,ESRS 2 MDR-A/Cyber security,130,⚫,
,"ESRS 2 MDR-P/G1-1
125
⚫
⚫","e)
Tracking effectiveness",ESRS MDR-M/E1-5,"78, 80",,⚫
,"ESRS 2 MDR-P/Transparent tax
129
⚫",of these efforts and,G1-4,127,⚫,⚫
,"ESRS 2 MDR-P/Cyber security
130
⚫",communicating,G1-5,127,⚫,⚫
,,,MDR-T/E1-4,77,,⚫
,,,MDR-T/S1-5,"100, 105, 110",⚫,
