0,1,2,3,4,5
ESRS S2 Workers in the value chain,,,ESRS S4 Consumers and end-users,,
Disclosure requirement,Interests and views of,Section,Disclosure requirement,Interests and views of,Section
"ESRS 2, SBM-2",stakeholders,ESRS 2: Business model and strategy,"ESRS 2, SBM-2",stakeholders,ESRS 2: Business model and strategy
,"Material impacts, risks and 
opportunities and their",ESRS S2: Introduction to the topic,,"Material impacts, risks and 
opportunities and their",
"ESRS 2, SBM-3",interaction with strategy and,"(
Mainly omitted due to no impacts","ESRS 2, SBM-3",interaction with strategy and,ESRS S4: Introduction to the topic
,business model,"identified in the DMA)
ESRS S2: Approach and policies",,"business model
Policies related to consumers",
,,E,S4-1,and end-users,ESRS S4: Approach and policies
S2-1,Policies related to value chain,"SRS G1: Remediation and 
whistleblowing channel",S4-2,"Processes for engaging with 
consumers and end-users about",ESRS S4: Engaging with consumers and
,workers,E,,impacts,end-users
,,"SRS G1: Management of relationships 
with suppliers",,Processes to remediate negative,ESRS S4: Remediation
,Processes for engaging with,,S4-3,"impacts and channels for 
consumers and end-users to","E
SRS G1: Remediation and"
S2-2,value chain workers about,"ESRS S2: Engaging with value chain 
workers",,raise concerns,whistleblowing channel
,"impacts
Processes to remediate negative",,,Taking action on material impacts,
S2-3,impacts and channels for value,ESRS S2: Remediation,,"on consumers and end-users, 
and approaches to managing",
,"chain workers to raise concerns
Taking action on material impacts",,S4-4,"material risks and pursuing 
material opportunities related to",ESRS S4: Actions
,"on value chain workers, and 
approaches to managing material",,,"consumers and end-users, and 
effectiveness of those actions",
S2-4,"risks and pursuing material 
opportunities related to value",ESRS S2: Actions,,"Targets related to managing 
material negative impacts,",
,"chain workers, and effectiveness 
of those actions",,S4-5,"advancing positive impacts, and 
managing material risks and",ESRS S4: Targets
,"Targets related to managing 
material negative impacts,",,,opportunities,
S2-5,"advancing positive impacts, and 
managing material risks and",ESRS S2: Targets,,,
,opportunities,,,,
