0,1,2
,,Disclosure requirements in ESRS
Disclosure requirement,Section,Page
MDR-P – Policies adopted to manage material,"Policies related to communities affected by own 
operations",399
"sustainability matters 
S3-1 – Policies related to affected communities",Communities affected by companies in the VUB Group’s,404
,portfolios,
S3-2 – Processes for engaging with affected,"Engagement processes and reporting channels 
Communities affected by companies in the VUB Group’s",401
communities about impacts,portfolios,404
S3-3 – Processes to remediate negative impacts and,"Engagement processes and reporting channels 
Communities affected by companies in the VUB Group’s",401
channels for affected communities to raise concerns,portfolios,404
"MDR-A – Actions and resources in relation to material 
sustainability matters",,
"S3-4 – Taking action on material impacts on affected 
communities, and approaches to managing material","Actions related to communities affected by own 
operations",401
"risks and pursuing material opportunities related to 
affected communities, and effectiveness of those actions",,
"MDR-T – Tracking effectiveness of policies and actions 
through targets","Objectives related to communities affected by own 
operations",401
S4 Consumers and end-users,,
ESRS 2 SBM-2 – Interests and views of stakeholders,"Materiality process on impacts, risks and opportunities 
and their interaction with strategy and business model",406
"ESRS 2 SBM-3 Material impacts, risks and opportunities 
and their interaction with strategy and business model","Materiality process on impacts, risks and opportunities 
and their interaction with strategy and business model",406
,"The Group’s commitment to human rights 
Policies related to customer satisfaction and responsible","407 
407"
"MDR-P – Policies adopted to manage material 
sustainability matters","sales 
Policies related to customer data protection","4
11"
S4-1 – Policies related to consumers and end-users,"Policies related to health and safety 
Policies related to social inclusion","414 
415"
,Policies related to sustainability-conscious investments,418
,"Quality of service – Customer satisfaction and 
responsible sales – Engagement processes with",408
S4-2 – Processes for engaging with consumers and end-,"customers 
Quality of service – Customer data protection –","4
12"
users about impacts,"Engagement processes with customers 
Customer Health and safety – Customer engagement","4
14"
,"processes, remedies and channels for filing complaints  
Social inclusion – Engagement processes with customers","4
16"
,"Quality of service – Customer satisfaction and 
responsible sales – Remediation processes and channels",409
,"to raise concerns  
Quality of service – Customer data protection –",4
"S4-3 – Processes to remediate negative impacts and 
channels for consumers and end-users to raise concerns",Remediation processes and channels to raise concerns,12
,"Customer Health and safety – Customer engagement 
processes, remedies and channels for filing complaints","4
14"
,"Social inclusion – Remediation processes and channels to 
raise concerns","4
16"
"MDR-A – Actions and resources in relation to material 
sustainability matters",Actions related to customer satisfaction and responsible,410
S4-4 – Taking action on material impacts on consumers,"sales 
Actions related to customer privacy","4
13"
"and end-users, and approaches to managing material 
risks and pursuing material opportunities related to",Actions related to anti-fraud customer protection,413
"consumers and end- users, and effectiveness of those","Actions related to customer health and safety 
Actions related to social inclusion","415 
417"
actions,,
,"Objectives related to customer satisfaction and 
responsible sales",409
MDR-T – Tracking effectiveness of policies and actions,"Objectives related to customer data protection 
Objectives related to customer health and safety","13 
415"
through targets,Objectives related to social inclusion,416
,"Objectives related to sustainability-conscious investment 
products",419
