0,1
ESRS Content Index,
Disclosure requirement and related datapoint,Page number/paragraph Sustainability Statement 2024
ESRS 2 - GENERAL DISCLOSURES,
BP-1 General basis for preparation of the Sustainability,General information - 1.1 Basis of preparation (see page 88)
Statement,
BP-2 Disclosures in relation to specific circumstances,General information - 1.1 Basis of preparation (see page 89)
"GOV-1 The role of the administrative, management and",General information - 1.2 Governance (see page 90-91)
supervisory bodies,
GOV-2 Information provided to and sustainability matters,
"addressed by the undertaking's administrative, management",General information - 1.2 Governance (see page 92)
and supervisory bodies,
GOV-3 Integration of sustainability-related performance in,General information - 1.2 Governance (see page 92)
incentive schemes,
GOV-4 Statement on due diligence,General information - 1.2 Governance (see page 93-94)
GOV-5 Risk management and internal controls over,General information - 1.2 Governance (see page 94)
sustainability reporting,
"SBM-1 Strategy, business model and value chain",General information - 1.3 Strategy and business model (see
,page 95-98)
SBM-2 Interests and views of stakeholders,General information - 1.3 Strategy and business model (see
,page 98-99)
"SBM-3 - Material impacts, risks and opportunities and their",General information - 1.4 The Double Materiality
interaction with strategy and business model,Assessment (see page 100- 105)
IRO-1 Description of the process to identify and assess,General information - 1.4 The Double Materiality
"material impacts, risks and opportunities",Assessment (see page 99-100)
IRO-2 Disclosure Requirements in ESRS covered by the,General information - 1.4 The Double Materiality
undertaking's Sustainability Statement,Assessment (see page 106)
ESRS E1 CLIMATE CHANGE,
IRO-1 Description of the processes to identify and assess,Environmental information - 2.2 Emissions reduction and
"material climate-related impacts, risks and opportunities",climate change (see page 108)
E1-2 Policies related to climate change mitigation and,Environmental information - 2.2 Emissions reduction and
adaptation,climate change - 2.2.1 Approach to climate change in Exor
,(see page 114)
