0,1,2
5.13.5 Cross-reference table for TNFD and ESRS recommendations,,
TNFD recommendations,CSRD Disclosure Requirements,Sections
GOVERNANCE,,
"Describe the Board’s monitoring of nature-related 
dependencies, impacts, risks and opportunities.",• ESRS 2 GOV-1,5.1.1.1
,• ESRS 2 GOV-2,5.1.1.2
,• ESRS 2 GOV-3,5.1.1.3
,• ESRS 2 GOV-5,5.1.1.5
"Describe the role of management in assessing and 
managing nature- related dependencies, impacts, risks",• ESRS 2 GOV-1,5.1.1.1
and opportunities.,• ESRS 2 GOV-2,5.1.1.2
,• ESRS 2 IRO-1,5.1.3.1
,• ESRS 2 MDR-P on policies,5.3.3.1
"Describe the organisation's human rights policies and 
commitment activities, as well as the supervision by the",• ESRS 2 SBM-2,5.1.2.2
"Board of Directors and management, in relation to",• ESRS 2 SBM-3,5.1.3.2 & 5.3.2.1
"indigenous peoples, local communities, affected 
stakeholders and others, in the organisation's assessment","• ESRS 2 IRO-1 and corresponding data points in 
environmental standards",5.1.3.1 & 5.3.3.1
"of nature-related dependencies, impacts, risks and 
opportunities, and in the responses it provides.",• ESRS 2 MDR-P on policies,"See ""Impact, risk and"
,,"opportunity management"""
,"• •
ESRS 2 GOV-2",5.1.1.2
,• ESRS 2 GOV-4,5.1.1.4
,• ESRS E4-2,5.6.2.2
,• ESRS E4-3,5.6.2.3
,• ESRS S3,5.10
,• ESRS G1-5,5.12.3.3
STRATEGY,,
"Describe the nature-related dependencies, impacts, risks 
and opportunities that the organisation has identified in","• ESRS 2 SBM-3 and corresponding data points in 
environmental standards.",5.1.3.2 & 5.3.2.1
"the short, medium and long term.",• ESRS 2 IRO-1 and the corresponding data points in the,5.1.3.1 & 5.3.3.1
,environmental standards.,
"Describe the effect that nature-related dependencies, 
impacts, risks and opportunities have had on the","• ESRS 2 SBM-3 and corresponding data points in 
environmental standards.",5.1.3.2 & 5.3.2.1
"organisation’s business model, value chain, strategy and",• ESRS 2 MDR-P policies and corresponding data points in,"See “Managing impacts, risks
and opportunities” and “Metrics"
"financial planning, as well as the transition plans or 
analyses in place.",environmental standards.,and targets” in the thematic
,• ESRS 2 MDR-A actions and the corresponding data points,chapters
,in the environmental standards.,5.10.2.4
,"• ESRS 2 MDR-T targets and corresponding data points in 
environmental standards.",5.12.2.5
,"Thematic environmental standards 
•",
,• ESRS S3-4,
,• ESRS G1-2,
"Describe the resilience of the organisation’s strategy to 
nature-related risks and opportunities, taking into","• ESRS 2 SBM-3 and corresponding data points in 
environmental standards.",5.1.3.2 & 5.3.2.1
account different scenarios.,• ESRS 2 MDR-A and the corresponding data points in the,
,environmental standards.,
,• ESRS E4-1,5.6.1.2
,"Thematic environmental standards on “Actions and 
•
resources related to material sustainability issues”.","See “Managing impacts, risks"
,"Thematic environmental standards on the ‘anticipated 
•","and opportunities in the relevant
 chapters"
,"financial effects of significant environmental risks and 
opportunities’",
"Disclose the locations of assets and/or activities in the 
organisation's direct operations and, if possible, the",• ESRS 2 SBM-3,5.1.3.2 & 5.3.2.1
upstream and downstream value chains that satisfy the,• ESRS 2 IRO-1,5.1.3.1 & 5.3.3.1
priority location criteria.,,
