0,1,2,3,4,5,6
Datapoints that derive from other EU legislation.,,,,,,
"The table below includes all the datapoints that derive from other EU legislation as listed in ESRS 2 appendix B, indicating where the data points can be 
found in our report and which data points are assessed as ‘Not material’.",,,,,,
Disclosure,Data,Disclosure,Legislation,Section/,Page,
Requirement,point,Requirement,,Report,,
ESRS S1-14,"88 (b) 
and c)","Number of fatalities and number and rate of work-related 
accidents",SFDR/BRR,SS,150,
ESRS S1-14,88 (e),"Number of days lost to injuries, accidents, fatalities or 
illness",SFDR,"Not stated – 
phased in",,-
,,,,concession,,
ESRS S1-16,97(a),Unadjusted gender pay gap,SFDR/BRR,SS,153,
ESRS S1-16,97(b),Excessive CEO pay ratio,SFDR,SS,153,
ESRS S1-17,103 (a),Incidents of discrimination,SFDR,SS,149,
ESRS S1-17,104 (a),"Non-respect of UNGPs on Business and Human Rights and 
OECD",SFDR/BRR,SS,149,
ESRS 2-SBM3-S2,11 (b),Significant risk of child labour or forced labour in the value,SFDR,Not material,,-
,,chain,,,,
ESRS S2-1,17,Human rights policy commitments,SFDR,Not material,,-
ESRS S2-1,18,Policies related to value chain workers,SFDR,Not material,,-
ESRS S2-1,19,"Non-respect of UNGPs on Business and Human Rights, ILO 
principles or and OECD guidelines",SFDR/BRR,Not material,,-
ESRS S2-1,19,"Due diligence policies on issues addressed by the 
fundamental International Labor Organisation Conventions 1",BRR,Not material,,-
,,to 8,,,,
ESRS S2-4,36,"Human rights issues and incidents connected to its 
upstream and downstream value chain",SFDR,Not material,,-
ESRS S3-1,16,Human rights policy commitments,SFDR,Not material,,-
ESRS S3-1,17,"Non-respect of UNGPs on Business and Human Rights, ILO 
principles or and OECD guidelines",SFDR/BRR,Not material,,-
ESRS S3-4,36,Human rights issues and incidents,SFDR,Not material,,-
ESRS S4-1,16,Policies related to consumers and end users,SFDR,SS,161,
,,,,,157,
,,,,,162,
ESRS S4-1,17,"Non-respect of UNGPs on Business and Human Rights and 
OECD guidelines",SFDR/BRR,SS,162,
ESRS S4-4,35,Human rights issues and incidents,SFDR,SS,162,
ESRS G1-1,10 (b),United Nations Convention against Corruption,SFDR,SS,167,
ESRS G1-1,10 (d),Protection of whistle- blowers,SFDR,SS,166,
ESRS G1-4,24 (a),Fines for violation of anti-corruption and anti-bribery law,SFDR/BRR,SS,168,
ESRS G1-4,24 (b),Standards of anti- corruption and anti-bribery,SFDR,SS,168,
