0,1,2,3,4,5,6,7
towards for more comprehensive and detailed,,,,,,"Overall, climate change and other sustainability related",A DMA is performed including identifying our
disclosures.,,,,,,risks have increased due to continuing global carbon,sustainability risks. Efforts regarding this materiality
,,,,,,emissions and increasing expectations and scrutiny,assessment in line with the ESRS requirements have
Disclosure,Full name of the Disclosure,Topics assessed as,Impacts on business,Policies in place,"Metrics, actions",from stakeholders.,"required Brunel-wide involvement, including at the"
requirement,Requirement,material,model and strategy,,and targets,,highest level of the organisation. This Annual Report
ESRS E1,Anticipated financial effects,Topics assessed as,See chapter on,See chapter on,See chapter on,Link to strategy,includes the results of the DMA on page 22. Mitigating
,from material physical and,material,environment,environment,environment,,actions are disclosed for the impacts deemed material
,"transition risks and potential 
climate-related",No material physical risks,,,,"• 
Capabilities","in the Environmental, Social and Governance chapters."
,opportunities,"have been assessed. 
Assessing financial effects",,,,,ln 2025 we will further bring the outcome of the DMA
,,from transition risks and,,,,"• 
Diversification",and broader risk and opportunity assessment together
,,potential climate related,,,,,to align on the mitigation and actions to take in relation
,,"opportunities will be 
explored in 2025.",,,,"•  Globally connected, locally executed",to our ambition and risk appetite.
ESRS S1-11,Social protection,See chapter on social,See chapter on social,"See chapter on 
social","See chapter on 
social","• 
Disciplined execution",
ESRS S1-12,Persons with disabilities,See chapter on social,See chapter on social,See chapter on,See chapter on,,
,,,,social,social,"ESG REPORTING RISKS
B.",
ESRS S1-13,"Training and skills 
development",See chapter on social,See chapter on social,"See chapter on 
social","See chapter on 
social",,
,,,,,,The majority of reported ESG data is prepared by,"Findings of each Double Materiality Assessment, Risk"
ESRS S1-14,Health and safety – cases of,See chapter on social,See chapter on social,See chapter on,See chapter on,Finance and Human Resources. Procedures are in place,update and ESG reporting cycle are reviewed by the
,work-related ill-health,,,social,social,to facilitate reliable reporting on non-financial metrics.,"Corporate Finance and Control function. Further,"
ESRS  S1-15,Work-life balance,See chapter on social,See chapter on social,See chapter on,See chapter on,We are considering a risk and control matrix for non-,observations shared with Brunel’s audit committee by
,,,,social,social,financial information reporting and are considering,the external auditor are incorporated into this review.
,,,,,,setting up a control framework for non-financial,Collectively these serve as input for the ESG
