0,1,2,3,4,5
Disclosure requirements and incorporation by reference,,,,,
"Cross-cutting standard 
Disclosure requirement",Section,Page,"Environmental standards
Disclosure requirement",Section,Page
ESRS 2 — General disclosures,,,ESRS E1 — Climate change,,
"BP-1
General basis for preparation of sustainability statement",SUS,94,"E1-1
Transition plan for climate change mitigation",-,-
"BP-2
Disclosures in relation to specific circumstances",SUS,94,"E1-2
Policies implemented to manage climate change mitigation and adaptation",SUS,65
"GOV-1
The role of the administrative, management, and supervisory bodies
Expertise and skills on sustainability matters","MR
MR","37
42-43","E1-3
Actions and resources in relation to climate change policies",SUS,65
Employee representation on the Board of Directors,MR,42-43,"E1-4
Targets related to climate change mitigation and adaptation",SUS,64
"GOV-2
Information provided to and sustainability matters addressed by the undertaking’s",MR,38,"E1-5
Energy consumption and mix",SUS,72
"administrative, management, and supervisory bodies",,,Energy intensity based on net revenue,SUS,101
"GOV-3
Integration of sustainability-related performance in incentive schemes",MR,40,"E1-6
Gross scopes 1, 2, 3 and Total GHG emissions",SUS,101
"GOV-4
Statement on due diligence",SUS,56,GHG Intensity based on net revenue,SUS,72
"GOV-5
Risk management and internal controls over sustainability reporting",MR,39,"E1-7
GHG removals and GHG mitigation projects financed through carbon credits",SUS,72
"SBM-1
Business model",MR,26,"E1-8
Internal carbon pricing",SUS,66
Strategy and value chain,SUS,49-52,"E1-9
Anticipated financial effects from material physical and transition risks and potential  
climate-related opportunities",-,-
"SBM-2
Interests and views of stakeholders",SUS,57,,,
"SBM-3
Material impacts, risks, and opportunities and their interaction with strategy and business model",SUS,55,,,
"IRO-1
Description of the process to identify and assess material impacts, risks, and opportunities",SUS,54,,,
"IRO-2
Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement",SUS,95-97,,,
