0,1,2,3,4,5
Our business,"Sustainability statement
Financial statements",Auditor and management statements,"Additional information
Related to the Sustainability statement",,
IRO-2,,,,,
Content index of ESRS disclosure requirements – continued,,,,,
List of material disclosure requirements,,Page,List of material disclosure requirements,,Page
S1,Own workforce,,S3,Affected communities,
ESRS 2 SBM-2-S1,Interests and views of stakeholders,68,ESRS 2 SBM-2-S3,Interests and views of stakeholders,68
ESRS 2 SBM-3-S1,"Material impacts, risks and opportunities and their interaction with strategy and business 
model","99, 102, 107",ESRS 2 SBM-3-S3,"Material impacts, risks and opportunities and their interaction with strategy and business 
model",117
S1-1,Policies related to own workforce,"100, 103, 108",,S3-1 Policies related to affected communities,118
S1-2,Processes for engaging with own workforce and workers’ representatives about impacts,103,,S3-2 Processes for engaging with affected communities about impacts,119
S1-3,Processes to remediate negative impacts and channels for own workforce to raise concerns,104,,"S3-3 Processes to remediate negative impacts and channels for affected communities to 
raise concerns",120
S1-4,"Taking action on material impacts on own workforce, and approaches to mitigating material 
risks and pursuing material opportunities related to own workforce, and effectiveness of",,,"S3-4 Taking action on material impacts on affected communities, and approaches",
,those actions,"100,104, 109",,"to managing material risks and pursuing material opportunities related to affected 
communities, and effectiveness of those actions",120
S1-5,"Targets related to managing material negative impacts, advancing positive impacts, and 
managing material risks and opportunities","100, 105, 110",,"S3-5 Targets related to managing material negative impacts, advancing positive impacts,",
S1-6,Characteristics of the undertaking’s employees,106,,and managing material risks and opportunities,122
S1-9,Diversity metrics,"108, 110",G1,Business Conduct,
S1-13,Training and skills development metrics,110,ESRS 2 SBM-3-G1,"Material impacts, risks and opportunities and their interaction with strategy and business 
model",124
S1-14,Health and safety metrics,101,ESRS 2 GOV-1-G1,"The role of the administrative, management and supervisory bodies",125
S1-16,Remuneration metrics (pay gap and total remuneration),110,ESRS 2 IRO-1-G1,"Description of the processes to identify and assess material impacts, risks and",
S1-17,"Incidents, complaints and severe human rights impacts",104,,opportunities,66
S2,Workers in the value chain,,,G1-1 Business conduct policies and corporate culture,125
ESRS 2 SBM-2-S2,Interests and views of stakeholders,68,,G1-2 Management of relationships with suppliers,114
ESRS 2 SBM-3-S2,"Material impacts, risks and opportunities and their interaction with strategy and business",,,G1-3 Prevention and detection of corruption and bribery,"125, 126"
,model,112,,G1-4 Incidents of corruption or bribery,"126, 127"
S2-1,Policies related to value chain workers,114,,G1-5 Political influence and lobbying activities,127
S2-2,Processes for engaging with value chain workers about impacts,114,,,
S2-3,"Processes to remediate negative impacts and channels for value chain workers to raise 
concerns",114,,,
S2-4,"Taking action on material impacts on value chain workers, and approaches to managing 
material risks and pursuing material opportunities related to value chain workers, and",,,,
,effectiveness of those actions,115,,,
Vestas Annual Report 2024,,,,,213
