0,1,2
,,Disclosure requirements in ESRS
Disclosure requirement,Section,Page
Governance information,,
G1 Business conduct,,
"ESRS 2 GOV-1 – The role of the administrative, 
supervisory and management bodies",Policies related to corporate culture,422
"ESRS 2 IRO-1 – Description of the processes to identify 
and assess material impacts, risks and opportunities","Materiality assessment process on impacts, risks and 
opportunities related to business conduct matters",421
,"Policies related to corporate culture 
Policies related to corruption prevention","422 
424"
"MDR-P – Policies adopted to manage material 
sustainability matters","Policies related to protection of whistleblowers 
Policies related to management of relationships with","427 
428"
G1-1 – Business conduct policies and corporate culture,"suppliers 
Policies related to political influence and lobbying","4
29"
,activities,
G1-2 – Management of relationships with suppliers,"Policies related to management of relationships with 
suppliers",428
,"Actions related to corporate culture 
Actions related to corruption prevention","424 
425"
MDR-A – Actions and resources in relation to material,"Actions related to protection of whistleblowers 
Actions related to management of relationships with","427 
428"
sustainability matters,suppliers,
,"Actions related to political influence and lobbying 
activities",29
"G1-3 – Prevention and detection of corruption and 
bribery",Actions related to corruption prevention,425
,"Objectives related to corporate culture 
Objectives related to corruption prevention","424 
425"
MDR-T – Tracking effectiveness of policies and actions,"Objectives related to protection of whistleblowers 
Objectives related to management of relationships","427 
428"
through targets,with suppliers,
,"Objectives related to political influence and lobbying 
activities",29
G1-4 – Confirmed incidents of corruption or bribery,Metrics related to corruption prevention,426
G1-5 – Political influence and lobbying activities,"Metrics related to political influence and lobbying 
activities",429
G1-6 – Payment practices,"Metrics related to management of relationships with 
suppliers",429
