0,1,2,3,4,5,6,7,8
,,Annex to the combined management report,,,,,,
"COMBINED MANAGEMENT REPORT  |  SUSTAINABILITY REPORT
Annex to the combined management report",,,,,EVONIK  FINANCIAL AND SUSTAINABILITY REPORT  2024,,,
ESRS 2 Appendix B,,ESRS 2 Appendix B,,,,,,
ESRS 2 Appendix B,,,,,,,,
ESRS Index: Disclosure requirements covered,,,,,,,,T70
ESRS,Disclosure,Material a,"Use of phase-
in provisions",Page number,"ESRS
Disclosure",Material a,"Use of phase-
in provisions",Page number
ESRS 2,General disclosures,x,,,"Policies related to climate change mitigation  
E1-2
and adaptation",x,,129
BP-1,"General basis for preparation of  
sustainability statements",x,,93 ff.,"E1-3 
Actions and resources in relation to",,,
BP-2,Disclosures in relation to specific circumstances,x,,94 ff.,climate change policies,x,,"98, 120, 130 ff."
GOV-1,"The role of the administrative, management",,,,"E1-4 
Targets related to climate change mitigation  
and adaptation",x,,"129 ff., 136"
,and supervisory bodies,x,,121 ff.,"E1-5
Energy consumption and mix",x,,141 f.
GOV-2,"Information provided to and sustainability matters 
addressed by the undertaking’s administrative,",,,,"E1-6
Gross Scopes 1, 2, 3 and Total GHG emissions",x,,"134 ff.,"
,management and supervisory bodies,x,,"117, 122 f.","E1-7 
GHG removals and GHG mitigation projects",,,
GOV-3,"Integration of sustainability-related performance  
in incentive schemes",x,,123 ff.,financed through carbon credits,x,,"129 f., 133"
GOV-4,Statement on due diligence,x,,125,"E1-8
Internal carbon pricing",x,,131 f.
GOV-5,Risk management and internal controls,,,"60 f., 63, 65 ff.,","E1-9 
Anticipated financial effects from material  
 
physical and transition risks and potential",,,
,over sustainability reporting,x,,"69 f., 96",climate-related opportunities,x,x,
SBM-1,"Strategy, business model and value chain",x,,"27 ff., 97 ff.","ESRS E2
Pollution",x,,
SBM-2,Interests and views of stakeholders,x,,105 ff.,"ESRS 2 IRO-1 
Description of the processes to identify and  
 
assess material pollution-related impacts, risks",,,
SBM-3,"Material impacts, risks and opportunities and  
their interaction with strategy and business model",,,"93, 97 f., 100 ff., 
112 f., 115 f., 118 f.,",and opportunities,x,,"109, 159"
,,,,"129, 140, 143, 147, 
153, 159, 170, 177,","E2-1
Policies related to pollution",x,,"159 f., 180 ff."
,,x,,"180, 188, 200, 206","E2-2
Actions and resources related to pollution",x,,159
IRO-1,Description of the processes to identify and,,,,"E2-3
Targets related to pollution",x,,159 f.
,"assess material impacts, risks and opportunities",x,,"108 ff., 114 ff.","E2-4
Pollution of air, water and soil",x,,"163, 184 f."
IRO-2,Disclosure requirements covered,x,,"111, 210 ff.","E2-5 
Substances of concern and substances  
of very high concern",x,,163
ESRS E1,Climate change,x,,,"E2-6 
Anticipated financial effects from pollution-",,,
ESRS 2 GOV-3,"Integration of sustainability-related performance  
in incentive schemes",x,,"123 f., 129","related impacts, risks and opportunities",x,x,
E1-1,Transition plan for climate change mitigation,x,,128 f.,"ESRS E3
Water and marine resources",x,,
"ESRS 2 SBM-3  Material impacts, risks and opportunities and",,,,,"ESRS 2 IRO-1 
Description of the processes to identify and  
 
assess material water and marine resources-related",,,
,their interaction with strategy and business model,x,,"115 f., 129, 133","impacts, risks and opportunities",x,,143
ESRS 2 IRO-1,"Description of the processes to identify and assess 
material climate-related impacts, risks and opportunities",x,,"115 ff., 133,  
144, 149",a  Classified based on the materiality assessment and ESRS 2 AR 16.,,,
