0,1,2,3,4,5,6
Disclosure requirement and related datapoint,SFDR reference,Pillar 3 reference,Benchmark regulation reference,"EU Climate Law 
reference","Material / 
not material","Page 
reference"
"ESRS E1-5 Energy consumption from fossil sources 
disaggregated by sources (only high climate impact",Indicator number 5 Table #1 and,,,,,
sectors) paragraph 38,Indicator n 5 Table #2 of Annex 1,,,,Not material,
"ESRS E1-5 Energy consumption and mix paragraph 
37",Annex 1,,,,Material,187
"ESRS E1-5 Energy intensity associated with activities 
in high climate impact sectors paragraphs 40 to 43","Indicator number 6 Table #1 of 
Annex 1",,,,Not material,
,,"Article 449a Regulation (EU) No 
575/2013 Commission",,,,
,,"Implementing Regulation (EU) 
2022/2453 Template 1 Banking",,,,
,,"book – Climate change transition 
risk Credit quality of exposures",Delegated Regulation (EU),,,
"ESRS E1-6 Gross Scope 1 2 3 and Total GHG 
emissions paragraph 44","Indicators number 1 and 2 Table 
#1 of Annex 1","by sector emissions and residual 
maturity","2020/1818 Article 5(1) 6 and 
8(1)",,Material,188
,,"Article 449a Regulation (EU) No 
575/2013 Commission",,,,
,,"Implementing Regulation (EU) 
2022/2453 Template 3 Banking",,,,
"ESRS E1-6 Gross GHG emissions intensity 
paragraphs 53 to 55","Indicators number 3 Table #1 of 
Annex 1","book – Climate change transition 
risk alignment metrics","Delegated Regulation (EU) 
2020/1818 Article 8(1)",,Material,188
ESRS E1-7 GHG removals and carbon credits,,,,"Regulation (EU) 
2021/1119 Article",,
paragraph 56,,,,2(1),Not material,
,,,"Delegated Regulation (EU) 
2020/1818 Annex II Delegated",,,
"ESRS E1-9 Exposure of the benchmark portfolio to 
climate-related physical risks paragraph 66",,,"Regulation (EU) 2020/1816 
Annex II",,Material,Phase-in
,,"Article 449a Regulation (EU) No 
575/2013 Commission",,,,
,,"Implementing Regulation (EU) 
2022/2453 paragraphs 46 and",,,,
"ESRS E1-9 Disaggregation of monetary amounts by 
acute and chronic physical risk paragraph 66 (a)",,"47 Template 5 Banking book - 
Climate change physical risk",,,,
"ESRS E1-9 Location of significant assets at material 
physical risk paragraph 66 (c)",,"Exposures subject to physical 
risk",,,Material,Phase-in
,,"Article 449a Regulation (EU) No 
575/2013 Commission",,,,
,,"Implementing Regulation (EU) 
2022/2453 paragraph",,,,
,,"34Template 2Banking book -
Climate change transition risk",,,,
"ESRS E1-9 Breakdown of the carrying value of its real 
estate assets by energy-efficiency classes paragraph",,"Loans collateralised by immovable 
property - Energy efficiency of",,,,
67 (c),,the collateral,,,Material,Phase-in
"ESRS E1-9 Degree of exposure of the portfolio to 
climate- related opportunities paragraph 69",,,"Delegated Regulation (EU) 
2020/1818 Annex II",,Material,Phase-in
ESRS E2-4 Amount of each pollutant listed in Annex II,"Indicator number 8 Table #1 of 
Annex 1 Indicator number 2 Table",,,,,
"of the E-PRTR Regulation (European Pollutant Release 
and Transfer Register) emitted to air water and soil","#2 of Annex 1 Indicator number 1 
Table #2 of Annex 1 Indicator",,,,,
paragraph 28,number 3 Table #2 of Annex 1,,,,Not material,
