0,1,2,3,4
,,Reference(s),,Derived from
ESRS Code,ESRS Description,- page,"Notes, if any",other EU
,,,,legislation
2 BP-1,General basis for preparation of the,127-128,,
,sustainability statement,,,
2 BP-2,Datapoints that derive from other EU,190-196,,
,legislation,,,
2 GOV-1,"The role of the administrative, management",151-152,,
,and supervisory bodies,,,
2 GOV-1,Board's gender diversity paragraph 21 (d),152-154,,X
2 GOV-1,Percentage of board members who are,151-152,,X
,independent paragraph 21 (e),,,
2 GOV-4,Statement on due diligence paragraph 30,158,,X
,Information provided to and sustainability,,,
2GOV-2,matters addressed by the undertaking’s,156-157,,
,"administrative, management and supervisory",,,
,bodies,,,
2 GOV-3,Integration of sustainability-related,157-158,,
,performance in incentive schemes,,,
2 GOV-4,Statement on sustainability due diligence,157-158,,X
2 GOV-5,Risk management and internal controls over,158-160,,
,sustainability reporting,,,
2 SBM-1,"Strategy, business model and value chain",143-146,,
,"(products, markets, customers)",,,
2 SBM-1,"Strategy, business model and value chain",143-146,,
,(headcount by country),,,
2 SBM-1,"Strategy, business model and value chain",145,,
,(breakdown of revenue),,,
2 SBM-2,Interests and views of stakeholders,146-149,,
,"Material impacts, risks and opportunities and",,,
2SBM-3,their interaction with strategy and business,164-172,,
,model,,,
,Description of the process to identify and,,,
2 IRO-1,"assess material impacts, risks and",161-163,,
,opportunities,,,
2 IRO-2,Disclosure requirements in ESRS covered by,190-196,,
,the undertaking’s sustainability statement,,,
2 GOV-3,Integration of sustainability-related,197,,
,performance in incentive schemes,,,
E1-1,Transition plan for climate change mitigation,198-201,,
E1-1,Undertakings excluded from Paris-aligned,,,
,Benchmarks paragraph 16 (g),201,,X
