0,1,2,3,4,5,6,7
"Coca-Cola HBC Integrated Annual Report 2024
73",,,"Strategic Report
Corporate Governance",Financial Statements,,Swiss Statutory Reporting,Supplementary Information
Sustainability Statement continued,,,,,,,
Disclosure Requirement,,,Benchmark Regulation,"EU
Climate Law",,"Location in the 
sustainability","Materiality of  
information"
and related datapoint,SFDR ( 23 ) reference,Pillar 3 ( 24 ) reference,( 25 ) reference,( 26 ) reference,,statement,(Group level)
ESRS S1-17,"Indicator number 7 Table #3 
of Annex I",,,,,p.145,Material for Group
"Incidents of discrimination  
paragraph 103 (a)",,,,,,,Level
ESRS S1-17 Non-respect of UNGPs,Indicator number 10 Table,,"Delegated Regulation (EU) 
2020/1816, Annex II Delegated",,,p.145,Material for Group
on Business and Human Rights and,"#1 and Indicator n. 14 Table 
#3 of Annex I",,Regulation (EU) 2020/1818,,,,Level
OECD Guidelines paragraph 104 (a),,,Art 12 (1),,,,
ESRS 2- SBM3 – S2,"Indicators number 12 and n. 
13 Table #3 of Annex I",,,,–,,Not Material
"Significant risk of child labour or 
forced labour in the value chain",,,,,,,
paragraph 11 (b),,,,,,,
ESRS S2-1,"Indicator number 9 Table #3 
and Indicator n. 11 Table #1",,,,,p.149,Material for Group
"Human rights policy  
commitments paragraph 17",of Annex 1,,,,,,Level
ESRS S2-1,"Indicator number 11 and n. 4 
Table #3 of Annex 1",,,,,p.148,Material for Group
"Policies related to value  
chain workers paragraph 18",,,,,,,Level
ESRS S2-1,"Indicator number 10 
Table #1 of Annex 1",,"Delegated Regulation (EU) 
2020/1816, Annex II Delegated",,,p.149,Material for Group
"Non-respect of UNGPs on Business 
and Human Rights principles and",,,"Regulation (EU) 2020/1818,",,,,Level
OECD guidelines paragraph 19,,,Art 12 (1),,,,
ESRS S2-1,,,"Delegated Regulation (EU) 
2020/1816, Annex II",,,p.149,Material for Group
"Due diligence policies on issues 
addressed by the fundamental",,,,,,,Level
"International Labor Organisation 
Conventions 1 to 8, paragraph 19",,,,,,,
ESRS S2-4,"Indicator number 14 
Table #3 of Annex 1",,,,,p.149,Material for Group
"Human rights issues and incidents 
connected to its upstream and",,,,,,,Level
downstream value chain paragraph 36,,,,,,,
ESRS S3-1,"Indicator number 9 Table 
#3 of Annex 1 and Indicator",,,,,p.157,Material for Group
"Human rights policy  
commitments paragraph 16",number 11 Table #1 of,,,,,,Level
,Annex 1,,,,,,
