0,1
ESRS Disclosure Requirements Index,
Disclosure requirement,Page number
"S2-4 Taking action on material impacts on value chain workers, and approaches to managing",
"material risks and pursuing material opportunities related to value chain workers, and",
effectiveness of those actions,305
"S2-5 Targets related to managing material negative impacts, advancing positive impacts, and",
managing material risks and opportunities,306
S3 Affected communities (social matters in accordance with NaDiVeG),306
ESRS 2 SBM-2 Interests and views of stakeholders,170
"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction with strategy",
and business model,306
S3-1 Policies related to affected communities,307
S3-2 Processes for engaging with affected communities about impacts,309
S3-3 Processes to remediate negative impacts and channels for affected communities to raise,
concerns,310
"S3-4 Taking action on material impacts on affected communities, and approaches to",
"managing material risks and pursuing material opportunities related to affected communities,",
and effectiveness of those actions,310
"S3-5 Targets related to managing material negative impacts, advancing positive impacts, and",
managing material risks and opportunities,312
S4 Consumers and end-users (social matters in accordance with NaDiVeG),312
ESRS 2 SBM-2 Interests and views of stakeholders,170
"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction with strategy",
and business model,312
S4-1 Policies related to consumers and end-users,313
S4-2 Process for engaging consumers and end-users about impacts,314
S4-3 Processes to remediate negative impacts and channels for consumers and end-users to,
raise concerns,314
"S4-4 Taking action on material impacts on consumers and end-users, and approaches to",
managing material risks and pursuing material opportunities related to consumers and end-,
"users, and effectiveness of those actions",316
"S4-5 Targets related to managing material negative impacts, advancing positive impacts, and",
managing material risks and opportunities,317
"G1 Business conduct (respecting human rights, and fighting corruption and bribery in",
accordance with NaDiVeG),319
"ESRS 2 GOV-1 The role of the administrative, management and supervisory bodies","28ff, 157"
ESRS 2 IRO-1 Description of the processes to identify and,
"assess material impacts, risks and opportunities",180
G1-1 Corporate culture and business conduct policies,319
G1-2 Management of relationships with suppliers,331
G1-3 Prevention and detection of corruption and bribery,334
G1-4 Confirmed incidents of corruption or bribery,335
G1-5 Political influence and lobbying activities,335
G1-6 Payment practices,336
