0,1,2
,,Disclosure requirements in ESRS
Disclosure requirement,Section,Page
,"Employment protection and labour relations – 
Engagement processes with own workers and their",377
,"representatives 
Diversity, Equity and Inclusion (DE&I) – Engagement",3
,processes with own workers and their representatives,82
S1-2 – Processes for engaging with own workers and,"Training and development – Engagement processes with 
own workers and their representatives","3
86"
workers’ representatives about impacts,Health and safety – Engagement processes with own,"3
89"
,"workers and their representatives  
Well-being of the VUB Group’s people – Engagement",3
,processes with own workers and their representatives,92
,"Privacy of the VUB Group’s people – Engagement 
processes with own workers and their representatives","3
96"
,"Employment protection and labour relations – 
Remediation processes with own workers and their",377
,"representatives and channels to raise concerns 
Diversity, Equity and Inclusion (DE&I) – Remediation",3
,"processes with own workers and their representatives 
and channels to raise concerns",82
S1-3 – Processes to remediate negative impacts and,"Health and safety – Remediation processes with own 
workers and their representatives and channels to raise","3
89"
channels for own workers to raise concerns,concerns,
,"Well-being of the VUB Group’s people – Remediation 
processes with own workers and their representatives","3
92"
,"and channels to raise concerns 
Privacy of the VUB Group’s people – Remediation",3
,"processes with own workers and their representatives 
and channels to raise concerns",96
,"Actions related to employment protection and labour 
relations",377
"MDR-A – Actions and resources in relation to material 
sustainability matters","Actions related to diversity, equity and inclusion 
Actions related to the inclusion of people with","83 
384"
"S1-4 – Taking action on material impacts on own 
workforce, and approaches to mitigating material risks","disabilities 
Actions related to training and development of VUB","3
86"
"and pursuing material opportunities related to own 
workforce, and effectiveness of those actions","Group’s people 
Actions related to health and safety","3
89"
,"Actions related to work-life balance 
Actions related to privacy of VUB Group’s people","393 
397"
,"Objectives related to employment protection 
Objectives related to diversity, equity and inclusion","377 
383"
MDR-T – Tracking effectiveness of policies and actions,"Objectives and metrics related to the development of the 
VUB Group’s people and talent management","3
386"
through targets,"Objectives related to health and safety 
Objectives related to work-life balance and working","89 
392"
,"hours 
Objectives related to privacy of VUB Group’s people","3
97"
S1-6 – Characteristics of the undertaking’s employees,"Characteristics and composition of the VUB Group’s 
employees",373
"S1-8 – Collective bargaining coverage and social 
dialogue","Metrics related to collective bargaining and social 
dialogue",377
S1-9 – Diversity metrics,Metrics related to diversity by gender and age,380
S1-10 – Adequate wages,Metrics related to adequate wages,377
S1-14 – Health and safety metrics,Metrics related to health and safety,390
"S1-16 – Compensation metrics (pay gap and total 
compensation)",Metrics related to equal pay and remuneration,381
"S1-17 – Incidents, complaints and severe human rights 
impacts",Human rights metrics in the workforce,375
S3 Affected communities,,
ESRS 2 SBM-2 – Interests and views of stakeholders,"Materiality process on impacts, risks and opportunities 
and their interaction with strategy and business model",398
"ESRS 2 SBM-3 – Material impacts, risks and 
opportunities and their interaction with strategy and","Materiality process on impacts, risks and opportunities",398
business model,and their interaction with strategy and business model,
