0,1,2,3,4,5,6,7,8,9
"ESRS Content index, cont.",,,,,,,,,
ESRS topic,"Dislosure  
number",Disclosure title,"Page and/or  
Note number(s)",Comment,ESRS topic,"Dislosure  
number",Disclosure title,"Page and/or  
Note number(s)",Comment
S2,SBM-3,"Material impacts, risks and opportunities and their  interaction  
with strategy and business model",112,,S4,S4-3,"Processes to remediate negative impacts and channels for consumers 
and end-users to raise concerns",119,
S2,S2-1,Policies related to value chain workers,112,,S4,S4-4,"Taking action on material impacts on consumers and end-users,  
and approaches to managing material risks and pursuing material",119,
S2,MDR-P,Minimum Disclosure Requirements – Policies,112,,,,"opportunities related to consumers and end-users, and effectiveness",,
S2,S2-2,"Processes for engaging with value chain workers  
about impacts",113,,,,of those actions,,
S2,S2-3,Processes to remediate negative impacts and,114,,S4,MDR-A,Minimum Disclosure Requirements – Actions,119,
,,channels for value chain workers to raise concerns,,,S4,S4-5,"Targets related to managing material negative impacts, advancing 
positive impacts, and managing material risks and opportunities",119,
S2,S2-4,"Taking action on material impacts on value chain  workers, and 
approaches to managing material risks and pursuing material",114–115,,S4,MDR-T,Minimum Disclosure Requirements – Targets,119,
,,"opportunities related to value chain workers, and effectiveness  
of those action",,,S4,MDR-M,Minimum Disclosure Requirements – Metrics,119,
S2,MDR-A,Minimum Disclosure Requirements – Actions,114–115,,EN-1,MDR-P,Minimum Disclosure Requirements – Policies,120,
S2,S2-5,"Targets related to managing material negative impacts, advancing",114,,EN-1,MDR-A,Minimum Disclosure Requirements – Actions,120,
,,"positive impacts, and managing material risks and opportunities",,,EN-1,MDR-T,Minimum Disclosure Requirements – Targets,120,
S2,MDR-T,Minimum Disclosure Requirements – Targets,114,,EN-1,MDR-M,Minimum Disclosure Requirements – Metrics,120,
S2,MDR-M,Minimum Disclosure Requirements – Metrics,114,,G1,GOV-1,"The role of the administrative, management and  supervisory bodies","60–65, 68–71",
S3,SBM-2,Interests and views of stakeholders,116,,G1,G1-1,Corporate culture and business conduct policies,124,
S3,SBM-3,"Material impacts, risks and opportunities and their  interaction",116,,G1,MDR-P,Minimum Disclosure Requirements – Policies,124,
,,with strategy and business model,,,G1,MDR-A,Minimum Disclosure Requirements – Actions,124–125,
S3,S3-1,Policies related to affected communities,116,,G1,MDR-T,Minimum Disclosure Requirements – Targets,124,
S3,MDR-P,Minimum Disclosure Requirements – Policies,116,,G1,MDR-M,Minimum Disclosure Requirements – Metrics,124,
S3,S3-2,Processes for engaging with affected communities about impacts,117,,,,,,
S3,S3-3,"Processes to remediate negative impacts and channels for affected 
communities to raise concerns",117,,,,,,
S3,S3-4,"Taking action on material impacts on affected communities, and  
approaches to managing material risks and pursuing material",117,,,,,,
,,"opportunities related to affected  communities, and effectiveness  
of those actions",,,,,,,
S3,MDR-A,Minimum Disclosure Requirements – Actions,117,,,,,,
S3,S3-5,"Targets related to managing material negative impacts, advancing  
positive impacts, and managing material risks and  opportunities",117,,,,,,
S3,MDR-T,Minimum Disclosure Requirements – Targets,117,,,,,,
S3,MDR-M,Minimum Disclosure Requirements – Metrics,117,,,,,,
S4,SBM-2,Interests and views of stakeholders,118,,,,,,
S4,SBM-3,"Material impacts, risks and opportunities and their interaction  
with strategy and business model",118,,,,,,
S4,S4-1,Policies related to consumers and end-users,118–119,,,,,,
S4,MDR-P,Minimum Disclosure Requirements – Policies,118–119,,,,,,
S4,S4-2,Processes for engaging with consumers and endusers about impacts,119,,,,,,
