0,1,2
Statement,,
Appendix B,,
Disclosure requirement and related datapoint,Section and page number,Materiality
ESRS 2 GOV-1,"6.1.2.1 The Role of the Administrative,",
"Board’s gender diversity, paragraph 21 (d)",Management and Supervisory Bodies p. 335,
ESRS 2 GOV-1,"6.1.2.1 The Role of the Administrative,",
"Percentage of board members who are independent,",Management and Supervisory Bodies p. 335,
paragraph 21 (e),,
ESRS 2 GOV-4,6.1.2.4 Statement on Due Diligence p. 338,
"Statement on due diligence, paragraph 30",,
ESRS 2 SBM-1,Not relevant for the Group,
"Involvement in activities related to fossil fuel activities,",,
paragraph 40 (d) i,,
ESRS 2 SBM-1,Not relevant for the Group,
"Involvement in activities related to chemical production,",,
paragraph 40 (d) ii,,
ESRS 2 SBM-1,Not relevant for the Group,
"Involvement in activities related to controversial weapons,",,
paragraph 40 (d) iii,,
ESRS 2 SBM-1,Not relevant for the Group,
Involvement in activities related to cultivation and production,,
"of tobacco, paragraph 40 (d) iv",,
ESRS E1-1,6.2.1.3 Transition Plan for Climate Change,
"Transition plan to reach climate neutrality by 2050, paragraph 14",Mitigation p. 366,
ESRS E1-1,Not relevant for the Group,
"Undertakings excluded from Paris-aligned Benchmarks,",,
paragraph 16 (g),,
ESRS E1-4,6.2.1.6 Targets p. 371,
"GHG emission reduction targets, paragraph 34",,
ESRS E1-5,6.2.1.7 Energy Consumption and Mix p. 373,
Energy consumption from fossil sources disaggregated by,,
"sources (only high climate impact sectors), paragraph 38",,
"ESRS E1-5 Energy consumption and mix, paragraph 37",6.2.1.7 Energy Consumption and Mix p. 373,
ESRS E1-5,6.2.1.7 Energy Consumption and Mix p. 374,
Energy intensity associated with activities in high climate impact,,
"sectors, paragraphs 40 to 43",,
ESRS E1-6,6.2.1.8 Total GHG Emissions,
"Gross Scopes 1, 2, 3 and Total GHG emissions, paragraph 44","(Scopes 1, 2 and 3) p. 374",
ESRS E1-6,6.2.1.8 Total GHG Emissions,
"Gross GHG emissions intensity, paragraphs 53 to 55","(Scopes 1, 2 and 3) p. 376",
ESRS E1-7,6.2.1.9 GHG Removals and GHG Mitigation,
"GHG removals and carbon credits, paragraph 56",Projects Financed Through Carbon Credits,
,p. 376,
