0,1
List of Datapoints in Cross-Cutting and Topical Standards That Derive From Other EU Legislation,
Disclosure Requirement and related datapoint,Section
ESRS S3-4 Human rights issues and incidents paragraph 36,"4.3.3 Affected Communities – Actions related to affected communities 
[S3-4]"
"ESRS S4-1 Policies related to consumers and end-users 
paragraph 16","4.3.4 Consumers and End-Users – Policies related to the social 
involvement of consumers and/or end-users [S4-1] as well as Policies"
,"related to the personal safety of consumers and/or end-users [S4-1] as 
well as Policies related to access to information by consumers and/or"
,end-users [S4-1]
"ESRS S4-1 Nonrespect of UNGPs on Business and Human 
Rights and OECD guidelines paragraph 17","4.3.4 Consumers and End-Users – Policies related to the social 
involvement of consumers and/or end-users [S4-1] as well as Policies"
,"related to the personal safety of consumers and/or end-users [S4-1] as 
well as Policies related to access to information by consumers and/or"
,end-users [S4-1]
ESRS S4-4 Human rights issues and incidents paragraph 35,"4.3.4 Consumers and End-Users – Actions related to the social 
involvement of consumers and/or end-users [S4-4] as well as Actions"
,related to the personal safety of consumers and/or end-users [S4-4]
"ESRS G1-1 United Nations Convention against Corruption 
paragraph 10 (b)","4.4.1 Business Conduct – Corporate culture and business conduct 
policies [G1-1]"
ESRS G1-1 Protection of whistle-blowers paragraph 10 (d),"4.4.1 Business Conduct – Corporate culture and business conduct 
policies [G1-1]"
"ESRS G1-4 Fines for violation of anti-corruption and anti-bribery 
laws paragraph 24 (a)","4.4.1 Business Conduct – Confirmed incidents of corruption or bribery 
[G1-4]"
"ESRS G1-4 Standards of anti-corruption and anti-bribery 
paragraph 24 (b)",not material
