0,1,2
2.6.3.8,CROSS REFERENCE TABLE FOR THE ESRS PUBLICATION REQUIREMENTS COVERED,
,BY THIS SUSTAINABILITY REPORT,
Topic/Sub‑topic,"Disclosure requirement
Section",
,"2.1.1.1
BP‑1 – General basis for preparation of sustainability statements",
,"2.1.1.2
BP‑2 – Disclosures in relation to specific circumstances",
,"2.1.2.1
GOV‑1 – The role of the administrative, management and supervisory bodies",
,"GOV‑2 – Information provided to and sustainability matters addressed by the undertaking's 
2.1.2.2
administrative, management and supervisory bodies",2.0
,"2.1.2.3
GOV‑3 – Integration of sustainability‑related performance in incentive schemes",
,"2.1.2.4
GOV‑4 – Statement on due diligence",
,"2.1.2.5
GOV‑5 – Risk management and internal controls over sustainability reporting",
,"2.1.3.1
ESRS 2‑SBM 1 – Strategy, business model and value chain",
,"2.1.3.2
ESRS 2‑SBM 2 – Interests and views of stakeholders",
,"ESRS 2‑SBM 3 – Material impacts, risks and opportunities and their interaction with strategy 
2.1.3.3
and business model",
,"IRO‑1 – Description of the processes to identify and assess material impacts, risks and 
2.1.4.1
opportunities",
,"IRO‑2 – Disclosure requirements in ESRS covered by the undertaking's sustainability 
2.1.4.2
statements",
Climate change mitigation,"2.2.2.1
ESRS E1‑1 – Transition plan for climate change mitigation",
Environment,"2.2.2.2
ESRS E1‑2 – Policies related to climate change mitigation and adaptation",
,"2.2.2.3
ESRS E1‑3 – Actions and resources in relation to climate change policies",
,"2.2.2.4
ESRS E1‑4 – Targets related to climate change mitigation and adaptation",
Climate change adaptation,"2.2.2.4
ESRS E1‑6 – Gross Scope 1, 2 and 3 and Total GHG emissions",
,"2.2.2.4
ESRS E1‑7 – GHG removals and GHG mitigation projects financed through carbon credits",
,"2.2.2.4
ESRS E1‑8 – Internal carbon pricing",
Climate,"ESRS E1‑9 – Anticipated financial effects from material physical and transition risks and 
2.2.2.4
potential climate‑related opportunities",
Energy,"2.2.2.4
ESRS E1‑5 – Energy consumption and mix",
,"2.2.3.1
ESRS E2‑1 – Policies related to pollution",
Pollution,"2.2.3.1
ESRS E2‑2 – Actions and resources related to pollution",
,"2.2.3.1
ESRS E2‑3 – Targets related to pollution",
"Pollution of air, water and soil","2.2.3.1
ESRS E2‑5 – Substances of concern and substances of very high concern",
,"2.2.3.1
ESRS E2‑4 – Pollution of air, water and soil",
Microplastics,"2.2.3.1
ESRS E2‑4 – Pollution of air, water and soil",
Water,"2.2.1.2
ESRS E2‑4 – Pollution of air, water and soil",
