0,1,2,3,4,5,6
"68
Coca-Cola HBC Integrated Annual Report 2024",,,"Strategic Report
Corporate Governance",Financial Statements,Swiss Statutory Reporting,Supplementary Information
Sustainability Statement continued,,,,,,
IRO-2_02,,,,,,
Table 7: Datapoints from other EU legislation,,,,EU,Location in the,Materiality of
"Disclosure Requirement  
and related datapoint",SFDR ( 23 ) reference,Pillar 3 ( 24 ) reference,"Benchmark Regulation  
( 25 ) reference","Climate Law  
( 26 ) reference","sustainability 
statement","information  
(Group level)"
ESRS 2 GOV-1,"Indicator number 13 of Table 
#1 of Annex 1",,Commission Delegated,,p.45,Material for Group
"Board’s gender diversity  
paragraph 21 (d)",,,"Regulation (EU) 2020/1816 ( 27 ), 
Annex II",,,Level
ESRS 2 GOV-1,,,"Delegated Regulation (EU) 
2020/1816, Annex II",,p.45,Material for Group
"Percentage of board members who 
are independent paragraph 21 (e)",,,,,,Level
ESRS 2 GOV-4,"Indicator number 10 Table 
#3 of Annex 1",,,,p.48,Material for Group
"Statement on due diligence 
paragraph 30",,,,,,Level
ESRS 2 SBM-1,Indicators number 4 Table,Article 449a Regulation (EU) No,"Delegated Regulation (EU) 
2020/1816, Annex II",,–,Not Material
Involvement in activities related to,#1 of Annex 1,"575/2013;
Commission Implementing",,,,
fossil fuel activities paragraph 40 (d) i,,Regulation (EU) 2022/2453 (28),,,,
,,"Table 1: Qualitative information 
on Environmental risk and Table 2:",,,,
,,"Qualitative information on 
Social risk",,,,
ESRS 2 SBM-1,"Indicator number 9 Table #2 
of Annex 1",,"Delegated Regulation (EU) 
2020/1816, Annex II",,–,Not Material
"Involvement in activities related to 
chemical production paragraph 40 (d) ii",,,,,,
ESRS 2 SBM-1,"Indicator number 14 Table 
#1 of Annex 1",,Delegated Regulation (EU),,–,Not Material
"Involvement in activities related to 
controversial weapons paragraph 40",,,"2020/1818 (29) , Article 12(1)",,,
(d) iii,,,"Delegated Regulation (EU) 
2020/1816, Annex II",,,
ESRS 2 SBM-1,,,Delegated Regulation (EU),,–,Not Material
Involvement in activities related to,,,"2020/1818, Article 12(1) 
Delegated Regulation (EU)",,,
"cultivation and production of tobacco 
paragraph 40 (d) iv",,,"2020/1816, Annex II",,,
ESRS E1-1,,,,"Regulation (EU) 2021/1119, 
Article 2(1)",p.83,Material for Group
"Transition plan to reach climate 
neutrality by 2050 paragraph 14",,,,,,Level
