0,1,2,3,4
"ESRS 2, SBM 2","Interests 
and 
views 
of 
stakeholders","• 
 C.3.4.2 Interests 
and 
views of stakeholders",,
"ESRS 2, SBM 3","Material impacts, risks and 
opportunities 
and 
their 
interaction  with 
strategy 
and business model","• 
 C.3.4.3 Management 
of 
the IRO’s",,
S4-1,"Policies 
related 
to 
consumers and end-users","• 
 C.3.4.4. Policies related to 
consumers and end-users 
• 
 C.1.4.1 Policies adopted to 
manage 
material 
sustainability 
matters",,
ESRS 2 MDR-P,"ESRS 
2  MDR-P Policies 
adopted 
to 
manage 
material 
sustainability 
matters","• 
 C.3.4.4. Policies related to 
consumers and end-users",,
S4-2,"Processes 
for 
engaging 
with  consumers  and  end-
users about impacts","• 
 C.3.4.4. Policies related to 
consumers and end-users",,
S4-3,"Processes 
to 
remediate 
negative 
impacts 
and 
channels 
for 
consumers 
and 
end-users 
to 
raise 
concerns","• 
 C.3.4.4. Policies related to 
consumers and end-users",,
S4-4,"Taking  action  on  material 
impacts on consumers and 
end-users, 
and 
approaches 
to  managing 
material risks and pursuing 
material 
opportunities 
related  to  consumers  and 
end-users, 
and 
effectiveness 
of 
those 
actions","• 
 C.3.4.5 Actions 
and 
resources on the material impacts",,
"ESRS 2, MDR-A","ESRS 
2  MDR-A Actions 
and resources in relation to 
material 
sustainability 
matters","• 
 C.3.4.5 Actions 
and 
resources on the material impacts",,
S4-5,"Targets 
related 
to 
managing 
material 
negative 
impacts, 
advancing 
positive 
impacts, 
and  managing 
material 
risks 
and 
opportunities","• 
 C.3.4.6 Targets  related  to 
managing 
material 
negative 
impacts, advancing positive impacts, 
and  managing  material 
risks  and 
opportunities",,
"ESRS 2, MDR-T","ESRS  2  MDR-T Tracking 
effectiveness 
of 
policies 
and actions through targets","• 
 C.3.4.6 Targets  related  to 
managing 
material 
negative 
impacts, advancing positive impacts, 
and  managing  material 
risks  and 
opportunities 
• 
 C.1.4.3 Measure of actions 
effectiveness through targets",,
