0,1,2
"The input parameters include stakeholder feedback, F-Secure’s own insights and",,F-Secure has included the following disclosure requirements in our sustainability
estimations for each threshold value. The estimations are made based on the best,statement as outlined in the following table.,
available information at the time.,,
Topic,Disclosure requirements,Index
General disclosure,,
Basis for preparation,BP-1 – General basis for preparation of sustainability statements,29
Basis for preparation,BP-2 – Disclosures in relation to specific circumstances,29-30
Governance,"GOV-1 – The role of the administrative, management and supervisory bodies",31-36
,"GOV-2 – Information provided to and sustainability matters addressed by the undertaking’s administrative, management",36-36
Governance,and supervisory bodies,
Governance,GOV-3 - Integration of sustainability-related performance in incentive schemes,36-37
Governance,GOV-4 - Statement on due diligence,37-37
Governance,GOV-5 - Risk management and internal controls over sustainability reporting 3. Strategy,39-40
Strategy,"SBM-1 – Strategy, business model and value chain",37
