0,1,2,3,4,5,6
,,,,,WithSecure Annual Report 2024 | Sustainability Report,43
IRO-2 Disclosure requirements in ESRS covered by the undertaking’s sustainability report,,,,,,
Content index list of the material Disclosure Requirements,,,,,,
The tables below describe all the ESRS disclosure requirements in ESRS 2 and,,,,Cross-cutting standards – ESRS 2 “General disclosures”,,
"the identified material topics E1, S1, S4 and G1 that have set the framework for the",,,Standard,,,Additional
preparation of the sustainability report.,,,section,Disclosure requirement,Section/report,information
Cross-cutting standards – ESRS 2 “General disclosures”,,,,"Material impacts, risks and opportunities",,Also detailed per
Standard,,Additional,SBM-3,and their interaction with strategy and,"SBM-3 Material sustainability-related impacts,",each ESRS topic
"Disclosure requirement
section",Section/report,information,,business model,risks and opportunities,in respective
,,,,,,sections.
"General basis for preparation of the 
BP-1",BP-1 General basis for preparation of,,,Description of the process to identify,IRO-1 Description of the process to,
sustainability report,sustainability report,,IRO-1,"and assess material impacts, risks","identify and assess material impacts, risks",
"Disclosures in relation to 
BP-2",BP-2 Disclosures in relation to,,,and opportunities,and opportunities,
specific circumstances,specific circumstances,,,Disclosure requirements in ESRS,IRO-2 Disclosure requirements in,
,"GOV-1, GOV-2 The role of, information",,IRO-2,covered by the undertaking’s,ESRS covered by the undertaking’s,Detailed per each
"The role of the administrative, management",provided to and sustainability matters,,,sustainability statement,sustainability report,ESRS topic.
"GOV-1
and supervisory bodies","addressed by the administrative, management",,,,,
,and supervisory bodies,,,,,
Information provided to and sustainability,"GOV-1, GOV-2 The role of, information",,,Environmental standards – ESRS E1 “Climate change”,,
"matters addressed by the undertaking’s 
GOV-2",provided to and sustainability matters,,Standard,Disclosure requirement,Section/report,Additional
"administrative, management and","addressed by the administrative, management",,section,,,information
supervisory bodies,and supervisory bodies,,"ESRS 2,",Integration of sustainability-related,GOV-3 Integration of sustainability-related,
"Integration of sustainability-related 
GOV-3",GOV-3 Integration of sustainability-related,,GOV-3,performance in incentive schemes,performance in incentive schemes,
performance in incentive schemes,performance in incentive schemes,,,,E1-1 Transition plan for climate,
"GOV-4
Statement on sustainability due diligence",GOV-4 Statement on due diligence,,E1-1,Transition plan for climate change mitigation,change mitigation,
"Risk management and internal controls over 
GOV-5",GOV-5 Risk management and internal controls,,"ESRS 2,","Material impacts, risks and opportunities,","SBM-3 Material impacts, risks and",
sustainability reporting,over sustainability reporting,,SBM-3,and their interaction with strategy and,opportunities related to climate change,
,,See also,,business model,,
"SBM-1
Strategy, business model and value chain","SBM-1 Strategy, business model and",Business model,,,,
,value chain,and value chain,,,,
"SBM-2
Interests and views of stakeholders",SBM-2 Interests and views of stakeholders,,,,,
