0,1
"ESRS 2 SBM-2 – S2 
Interests and views of stakeholders","Strategy, business model, value chain, interests and views of stakeholders, and material impacts, risks and 
opportunities"
"ESRS 2 SBM-3 – S2  Material impacts, risks and opportunities and their interaction with strategy and business model","Strategy, business model, value chain, interests and views of stakeholders, and material impacts, risks and 
opportunities, workers in the value chain"
"ESRS S2-1 
Policies related to value chain workers",Workers in the value chain
"ESRS S2-2 
Processes for engaging with value chain workers about impacts",Workers in the value chain
"ESRS S2-3 
Processes to remediate negative impacts and channels for value chain workers to raise concerns  Workers in the value chain",
"Taking action on material impacts on value chain workers, and approaches to managing material 
ESRS S2-4 
risks and pursuing material opportunities related to value chain workers, and effectiveness of",Workers in the value chain
those action,
"Targets related to managing material negative impacts, advancing positive impacts, and  
ESRS S2-5 
managing material risks and opportunities",Workers in the value chain
"ESRS G1 
Business conduct",Business conduct
"ESRS 2 GOV-1 – G1 
The role of the administrative, management and supervisory bodies",General information
"ESRS 2 IRO-1 – G1 
Description of the processes to identify and assess material impacts, risks and opportunities","Strategy, business model, value chain, interests and views of stakeholders, and material impacts, risks and 
opportunities"
"ESRS G1-1 
Corporate culture and business conduct policies",Business conduct
"ESRS G1-2 
Management of relationships with suppliers",Business conduct
"ESRS G1-3 
Prevention and detection of corruption and bribery",Business conduct
"ESRS G1-4 
Confirmed incidents of corruption or bribery",Business conduct
