0,1,2,3,4,5,6,7,8
Disclosure requirement,,Section,"Additional 
Page
information",Disclosure requirement,,Section,Page,"Additional 
information"
S1-16,"Compensation metrics (pay gap 
and total compensation)","Own workforce: Equal treatment 
and opportunities for all",152-156,,ESRS S3 Affected communities,,,
S1-17,"Incidents, complaints and severe",Own workforce: Measures against,155,"ESRS 2 
SBM-2",Interests and views of stakeholders,"Community impacts: Strategy – 
Interests and views of stakeholders",163,"Transitional 
provision"
,human rights impacts,"violence and harassment in the 
workplace",,ESRS 2,"Material impacts, risks and",Community impacts: Strategy –,164,related to
,,,,SBM-3,opportunities and their interaction,Material IROs and their interaction,,"chapter 5 
Value chain"
ESRS S2 Workers in the value chain,,,,,with strategy and business model,with strategy and business model,,applied.
"ESRS 2 
SBM-2",Interests and views of stakeholders,"Workers in the value chain: 
Strategy – Interests and views",157,,,,,
,,of stakeholders,,S3-1,"Policies related to affected 
communities (S3-1 & ESRS 2 MDR-P)","Community impacts: IRO 
management – Policies",164,
"ESRS 2 
SBM-3","Material impacts, risks and 
opportunities and their interaction","Workers in the value chain: 
Strategy – Material IROs and",158,S3-2,Processes for engaging with,Community impacts: IRO,164,
,with strategy and business model,their interaction with strategy,,,affected communities about impacts,"management – Processes 
for engaging with affected",,
,,and business model,,,,communities about impacts,,
S2-1,"Policies related to value chain workers 
workforce (S2-1 & ESRS 2 MDR-P)","Workers in the value chain: 
IRO management – Policies",158-159,S3-3,Processes to remediate negative,Community impacts: IRO,165,
,,,,,"impacts and channels for affected 
communities to raise concerns","management – Processes to 
remediate negative impacts",,
S2-2,"Processes for engaging with value 
chain workers about impacts","Workers in the value chain: 
IRO management – Processes",159-160,,,and channels for affected,,
,,for engaging with value chain,,,,communities to raise concerns,,
,,workers about impacts,,S3-4,Taking action on material impacts on,Community impacts: IRO,165,
S2-3,Processes to remediate negative,Workers in the value chain:,160,,"value chain workers, and approaches 
to managing material risks and","management – Actions 
and resources",,
,"impacts and channels for value 
chain workers to raise concerns","IRO management – Processes to 
remediate and channels for value",,,pursuing material opportunities,,,
,,chain workers to raise concerns,,,"related to affected communities, 
and effectiveness of those actions",,,
S2-4,Taking action on material impacts,Workers in the value chain:,160-162,S3-5,"Targets related to managing 
material negative impacts, advancing","Community impacts: How 
we measure performance",165,
,"on value chain workers, and 
approaches to managing material","IRO management – Actions 
and resources",,,"positive impacts, and managing",,,
,risks and pursuing material,,,,material risks and opportunities,,,
,"opportunities related to value 
chain workers, and effectiveness",,,,,,,
,of those actions,,,,,,,
S2-5,"Targets related to managing 
material negative impacts,","Workers in the value chain: 
How we measure performance",162,,,,,
,"advancing positive impacts, 
and managing material risks",,,,,,,
,and opportunities,,,,,,,
