0,1,2,3,4,5,6,7,8
Disclosure,Data,,SFDR,Pillar 3,"Benchmark 
Regulation","EU Climate 
Law",,
Requirement,points,,reference,reference,reference,reference,Section,Page
ESRS S4-1,,"Policies related to consumers 
and end-users",,,,,4.3.3.3.1,
,,,,,,,4.3.3.4.1,287
ESRS S4-1,16,"Policies related to consumers 
and end-users",x,,,,4.3.3.4.1,287
ESRS S4-1,17,"Non-respect of UNGPs on Business 
and Human Rights and OECD",,,,,,
,,guidelines,x,,,,"Not 
applicable",
ESRS S4-2,,"Processes for engaging with 
consumers and end-users about",,,,,,
,,impacts,,,,,4.3.3.5,289
ESRS S4-3,,"Processes to remediate negative 
impacts and channels for",,,,,,
,,"consumers and end-users 
to raise concerns",,,,,4.3.3.6,289
ESRS S4-4,,"Taking action on material impacts 
on consumers and end-users, and",,,,,,
,,"approaches to managing material 
risks and pursuing material",,,,,,
,,"opportunities related to consumers 
and end-users, and effectiveness",,,,,4.3.3.3.2,
,,of those actions,,,,,4.3.3.4.2,287
ESRS S4-4,35,Human rights issues and incidents,x,,,,"Not 
applicable",
ESRS S4-5,,"Targets related to managing 
material negative impacts,",,,,,,
,,"advancing positive impacts, 
and managing material risks",,,,,4.3.3.3.3,
,,and opportunities,,,,,4.3.3.4.3,287
ESRS GOV-1 G1,,"The role of the administrative, 
management and supervisory",,,,,,
,,bodies,,,,,4.4.1,290
ESRS IRO-1 G1,,"Description of the processes 
to identify and analyze material",,,,,,
,,"impacts, risks and opportunities",,,,,4.4.2,291
ESRS G1-1,,"Corporate culture and business 
conduct policies",,,,,4.4.3,291
ESRS G1-1,10 (b),"United Nations Convention 
against Corruption",x,,,,4.4.3,292
ESRS G1-1,10 (d),Protection of whistleblowers,x,,,,4.4.3,292
ESRS G1-2,,Supplier relationship management,,,,,4.4.4,293
ESRS G1-3,,"Prevention and detection 
of corruption and bribery",,,,,,
,,,,,,,4.4.5,296
ESRS G1-4,,Incident of corruption or bribery,,,,,4.4.6,297
ESRS G1-4,24 (a),"Fines for violation of anti-corruption 
and anti-bribery laws",x,,x,,4.4.6,297
ESRS G1-4,24 (b),"Standards of anti-corruption 
and anti-bribery",x,,,,4.4.6,297
ESRS G1-5,,"Political engagement 
and lobbying activities",,,,,Not,
,,,,,,,applicable,
ESRS G1-6,,Payment practices,,,,,4.4.7,297
