0,1,2
,Annex 1 - Content Index - list of the Disclosure Requirements,
,List of disclosure requirements,Page
,ESRS 2 General Disclosure,
BP-1,General basis for preparation of the sustainability statement,64-72
BP-2,Disclosures in relation to specific circumstances,65-66
GOV-1,"The role of the administrative, management and supervisory",67-72
,bodies,
,Information provided to and sustainability matters addressed by,
GOV-2,"the undertaking’s administrative, management and supervisory",68-69
,bodies,
GOV-3,Integration of sustainability-related performance in incentive,71-74
,schemes,
GOV-4,Statement on due diligence,72
GOV-5,Risk management and internal controls over sustainability,73-74
,reporting,
SBM-1,"Strategy, business model and value chain",74-80
SBM-2,Interests and views of stakeholders,80-85
SBM-3,"Material impacts, risks and opportunities and their interaction",94-103
,with strategy and business model,
IRO-1,Description of the process to identify and assess material,85-94
,"impacts, risks and opportunities",
IRO-2,Disclosure Requirements in ESRS covered by the undertaking’s,"64, 200-202"
,sustainability statement,
,ESRS E1 Climate change,
ESRS 2 GOV-3,Integration of sustainability-related performance in incentive,71
,schemes,
E1-1,Transition plan for climate change mitigation,105-106
ESRS 2 SBM-3,"Material impacts, risks and opportunities and their interaction",106
,with strategy and business model,
E1-2,Policies related to climate change mitigation and adaptation,107-111
E1-3,Actions and resources in relation to climate change policies,111-122
E1-4,Targets related to climate change mitigation and adaptation,122-126
E1-5,Energy consumption and mix,127-128
E1-6,"Gross Scopes 1, 2, 3 and Total GHG emissions",128-137
