0,1,2,3,4
,Sustainability report,,,
,INTRODUCTION,33,"S1
 OWN WORKFORCE 
S1-6
Characteristics of the undertaking’s employees","258
258"
,"ESRS 2  GENERAL INFORMATION
BP-1
General basis for preparation","40
41","S1-7
Characteristics of non-employee workers in the undertaking’s own",259
,"BP-2
Special circumstances",42,"workforce 
S1.SBM-3
Material impacts, risks and opportunities and their interaction with",260
,"GOV-1
Role of the administrative, management and supervisory bodies 
GOV-2
Sustainability matters communicated and addressed by","43
46",strategy and business model,
,"administrative, management and supervisory bodies",,"S1-1
Policies related to own workforce 
S1-4
Actions concerning the material impact on the company's own","266
275"
,"GOV-3
Integration of sustainability-related performance in incentive 
schemes",47,workforce and their effectiveness,
,"GOV-4
Due diligence",47,"S1-2
Processes for engaging with own workforce and workers’ 
representatives about impacts",289
,"GOV-5
Risk management and internal controls over sustainability reporting
SBM-1
Strategy, business model and value chain","48
49","S1-3
Processes to remediate negative impacts and channels for own 
workers to raise concerns",290
,"SBM-2
Interests and views of stakeholders 43
SBM-3
Material impacts, risks and opportunities and their interaction with","52
57","S1-5
Targets related to managing material negative impacts, advancing 
positive impacts, and managing material risks and opportunities",291
,"strategy and business model 
IRO-1
Procedures for identifying and assessing material impacts, risks",71,"S1-9
Diversity indicators 
S1-10
Adequate wages","292
292"
,"and opportunities 
IRO-2
Disclosure requirements covered by the sustainability statement",78,"S1-13
Training and skills development metrics 
S1-14",292
,,,"Health and safety metrics 
S1-16
Compensation metrics (pay gap and total compensation)","293
293"
,"DISCLOSURES PURSUANT TO ARTICLE 8 OF REGULATION 
(EU) 2020/852 (TAXONOMY REGULATION)",90,"S1-17
Incidents, complaints and severe human rights impacts",293
,"E1
CLIMATE CHANGE",100,"S2
 WORKERS IN THE VALUE CHAIN 
S2.SBM-3 Material impacts, risks and opportunities and their interaction with","294
294"
,"E1.SBM-3
Material impacts, risks and opportunities and their interaction with 
strategy and business model",100,strategy and business model,
,"E1-1
Transition plan for climate change mitigation",107,"S2-1
Policies related to workers in the value chain  
S2-2
Process of dialogue with workers in the value chain on impacts","302
306"
,"E1-2
Policies related to climate change mitigation and adaptation 
E1-3
Actions and resources in relation to climate change policies","111
119","S2-3
Processes to remediate negative impacts and channels for workers",307
,"E1-4
Targets related to climate change mitigation and adaptation",133,"in the value chain to raise concerns  
S2-4
Taking action on material impacts on workers in the value chain,",309
,,,,
3,"E1-5
Energy consumption and mix
E1-6
Gross scopes 1, 2, 3 and total GHG emissions
E1-7
GHG removals and GHG mitigation projects financed through","145
146
149","and approaches to managing material risks and pursuing material 
opportunities related to workers in the value chain, and 
effectiveness of those actions",
,"carbon credits 
E1-8
Internal carbon price",150,"S2-5
Targets related to managing material negative impacts, advancing 
positive impacts, and managing material risks and opportunities",315
