0,1,2,3,4,5,6,7,8
182.0,3.5 ESRS index,,,,INTRODUCTION,CONTENTS,"OUR 
SUSTAINABILITY 
FINANCIAL 
ABOUT US
PERFORMANCE
STATEMENT
STATEMENTS","ADDITIONAL 
INFORMATION"
,,3.5 ESRS index,,,,,,
,ESRS,DR,Name of DR,Page,,E1-7,GHG removals and GHG mitigation projects financed through carbon credits,119
,General information,,,,,E1-8,Internal carbon pricing,106
,ESRS 2,BP-1,General basis for preparation of sustainability statement,83,,E1-9,Anticipated financial effects from material physical and transition risks and potential,106
,,,,,,,climate-related opportunities,
,,BP-2,Disclosures in relation to specific circumstances,84,ESRS E,,Disclosures pursuant to Article 8 of Regulation (EU) 2020/852 (Taxonomy Regulation),121
,,GOV-1,"The role of administrative, management and supervisory bodies",86,ESRS E2,E2 SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and",
,,GOV-2,"Information provided to, and sustainability matters addressed by the company`s",86,,,business model,125
,,,"administrative, management and supervisory bodies",,,E2 IRO-1,"Description of the processes to identify and assess material impacts, risks and",
,,GOV-3,Integration of sustainability-related performance in incentive schemes,88,,,opportunities,"97,"
,,GOV-4,Statement on due diligence,88,,,,125
,,,,,,E2-1,Policies related to pollution,125
,,GOV-5,Risk management and internal controls over sustainability reporting,89,,E2-2,Actions and resources related to pollution,126
,,SBM-1,"Strategy, business model and value chain",90,,E2-3,Targets related to pollution,127
,,SBM-2,Interests and views of stakeholders,92,,E2-4,"Pollution of air, water and soil",127
,,SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and",94,,E2-6,Anticipated financial effects from material pollution-related risks and opportunities,129
,,,business model,,ESRS 4,E4 SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and",
,,IRO-1,"Description of the processes to identify and assess material impacts, risks and",97,,,business model,130
,,,opportunities,,,E4 IRO-1,"Description of the processes to identify and assess material impacts, risks and",
,,IRO-2,Requirements in ESRS covered by the undertaking`s sustainability statement,99,,,opportunities,"97,"
,,,,,,,,130
,,Environmental information,,,,E4-1,Transition plan and consideration of biodiversity and ecosystems in strategy and,
,ESRS E1,E1 SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and",101,,,business model,131
,,,business model,,,E4-2,Policies related to biodiversity and ecosystems,131
,,E1 IRO-1,"Description of the processes to identify and assess material impacts, risks and","97,",,E4-3,Actions and resources related to biodiversity and ecosystems,132
,,,opportunities,105,,E4-4,Targets related to biodiversity and ecosystems,133
,,E1-1,Transition plan for climate change mitigation,102,,E4-5,Impact metrics related to biodiversity and ecosystems change,134
,,E1-2,Policies related to climate change mitigation and adaptation,104,,E4-6,Anticipated financial effects from material biodiversity and ecosystem- related risks and,
,,E1-3,Actions and resources in relation to climate change policies,110,,,opportunities,134
,,E1-4,Targets related to climate change mitigation and adaptation,106,,,,
,,E1-5,Energy consumption and mix,116,,,,
,,E1-6,"Gross Scopes 1, 2, 3 and Total GHG emissions",117,,,,
