0,1,2,3,4
,,Covestro Annual Report 2024,,
,CAPITAL MARKET                                                MANAGEMENT REPORT                                                 COMPENSATION REPORT                                            FINANCIAL STATEMENTS                                       FURTHER INFORMATION,,,
,,Disclosure,,Section in Group Sustainability
ESSRRSS  AAppppeennddiixx,,"requirement 
SBM-1","Disclosure requirement title 
Strategy, business model and value chain","Statement 
Strategy – Strategy, Business Model,"
ESRS Index,,,,"and Value Chain, 
Strategy – United Nations Sustainable"
The following tables cover all disclosure requirements classified as material to,,,,"Development Goals (SDGs),"
Covestro. These tables can be used to find the information on the respective ESRS,,,,"Impact, Risk and Opportunity 
Management –  Covestro’s"
disclosure requirements in the Statement.,,,,Sustainability Targets
General Disclosures,,SBM-2,Interests and views of stakeholders,"Strategy – Interests and Views of 
Stakeholders"
Disclosure,Section in Group Sustainability,SBM-3,"Material impacts, risks and opportunities and 
their interaction with strategy and business","Strategy – Material Effects, Risks and 
Opportunities"
"requirement 
Disclosure requirement title",Statement,,model,
ESRS 2 – General disclosures,,IRO-1,"Description of the processes to identify and 
assess material impacts, risks and","Impact, Risk and Opportunity 
Management – Process to Identify"
"BP-1 
General basis for preparation of 
sustainability statements",Basis of Preparation,,opportunities,"and Assess Material Impacts, Risks, 
and Opportunities"
"BP-2 
Disclosures in relation to specific 
circumstances",Basis of Preparation,IRO-2,"Disclosure requirements in ESRS covered by 
the undertaking’s sustainability statement","Impact, Risk and Opportunity 
Management – Decision-Making"
"GOV-1 
The role of the administrative, management",Governance – The Role of the,,,"Process and the Associated Internal 
Control Process,"
and supervisory bodies,"Administrative, Management and 
Supervisory Bodies",,,ESRS Appendix – ESRS Index
"GOV-2 
Information provided to and sustainability 
matters addressed by the undertaking’s","Governance – Information Provided 
to and Sustainability Matters",,,
"administrative, management and 
supervisory bodies","Addressed by the Undertaking’s 
Administrative, Management and",,,
,Supervisory Bodies,,,
"GOV-3 
Integration of sustainability-related 
performance in incentive schemes","Governance – Integration of 
Sustainability-Related Performance",,,
,in Incentive Schemes,,,
"GOV-4 
Statement on due diligence","Governance –  Statement on Due 
Diligence",,,
"GOV-5 
Risk management and internal controls over 
sustainability reporting","Governance –  Risk management 
and internal controls over",,,
,sustainability reporting,,,
