0,1,2,3
Sartorius,,Combined Group Management Report    Sustainability Report,142
,Disclosure,"Brief description 
Page",
Section,Requirement,number,
Workers in the value chain,,,
Strategy,,,
,related to,"Disclosure Requirement – Interests and views of stakeholders 
122f.",
,ESRS 2 SBM-2,,
,related to,"Disclosure Requirement – Material impacts, risks and opportunities and their 
124f.",
,ESRS 2 SBM-3,interaction with strategy and business model,
"Impact, risk and opportunity management",,,
,MDR-P,"Policies adopted to manage material sustainability matters 
202",
,S2 -1,"Policies related to value chain workers 
202",
,S2 -2,"Processes for engaging with value chain workers about impacts 
202",
,S2 -3,"Processes to remediate negative impacts and channels for value chain workers to raise 
202",
,,concerns,
,MDR-A,"Actions and resources in relation to material sustainability matters 
203",
,S2 -4,"Taking action on material impacts on value chain workers, and approaches to 
203",
,,managing material risks and pursuing material opportunities related to value chain,
,,"workers, and effectiveness of those actions",
Metrics and targets,,,
,MDR-T,"Tracking effectiveness of policies and actions through targets 
204",
,S2 -5,"Targets related to managing material negative impacts, advancing positive impacts, 
204",
,,and managing material risks and opportunities,
,MDR-M,"Metrics in relation to material sustainability matters 
204",
4. Governance information,,,
,Disclosure,"Brief description 
Page",
Section,Requirement,number,
Corporate culture,,,
Governance,,,
,related to,"The role of the administrative, management and supervisory bodies 
116",
,ESRS 2 GOV-1,,
"Impact, risk and opportunity management",,,
,related to,"Description of the processes to identify and assess material impacts, risks and 
130f.",
,ESRS 2 IRO-1,opportunities,
,MDR-P,"Policies adopted to manage material sustainability matters 
205",
,G1 -1,"Corporate culture and business conduct policies 
205",
,MDR-A,"Actions and resources in relation to material sustainability matters 
205",
Metrics and targets,,,
,MDR-T,"Tracking effectiveness of policies and actions through targets 
206",
,MDR-M,"Metrics in relation to material sustainability matters 
206",
