0,1,2,3,4,5
,Management Report of FACC AG,7,8,Management Report of FACC AG,
External  resources:  FACC  engages  external  consultants  and  ex-,"matter of principle, compliance at FACC is ultimately monitored by",,,"im-
(ESRS  2-GOV-2.26b):  Given  that  FACC  analyzed  significant","Variable compensation components based on the fulfillment of 
•"
"perts  to  address  specific  sustainability 
issues.  These  external",the Supervisory Board.,,,"pacts, risks and opportunities (IROs) for the first time in 2024 and","financial  and  non-financial  performance  criteria,  with  non-fi-"
partners contribute additional expertise and support the company,,,,"these have not yet been taken fully into account, the administrative",nancial  performance  criteria  set  annually  by  the  Supervisory
in the implementation of best practices.,Management Board,,,management and supervisory bodies have not yet begun to succes-,Board:
,,,,"sively  integrate  these  findings  into  the  corporate  strategy,  deci-",
"With international experience in business and aviation, the profes-","At FACC, the Vice Presidents (E2) bear administrative responsibil-",,,sions on major transactions and the risk management process.,Board  members  are  entitled  to  variable  compensation.  This  de-
sional and diverse management and supervisory boards help to en-,ity for the various departments.,,,,pends on the economic development of FACC and the achievement
sure  that  FACC  operates  on  a  solid  foundation  when  it  comes  to,,,,The first analysis of IROs provided the executive bodies with initial,of individually agreed goals. The performance criteria are aligned
sustainability.,For information on the qualifications of the Vice Presidents and the,,,"insights 
into  potential  challenges  and  opportunities,  which  will","with the company's sustainable growth strategy, ensuring perfor-"
,"specific  areas  of  responsibility  of  the  Management  Board,  Vice",,,serve as a basis for future strategic planning and decision-making.,mance-based compensation and promoting a responsible manage-
The skills and experience of FACC's Management and Supervisory,"Presidents and the Supervisory Board, please refer to the notes on",,,"Although the IROs are not yet fully integrated, they will in future",ment culture. Fairness is ensured through payment in the following
Boards  qualify  these  bodies  to  review  and  approve  the  proposed,ESRS 2-GOV-1.23 and ESRS 2-GOV-1.23 a-b.,,,be taken into account in the monitoring of the corporate strategy,year and based on verified and disclosed criteria. The performance
"guidelines for the management of significant impacts, risks and op-",,,,to  ensure  that  the  company's  strategic  goals  are  progressively,"criteria ensure a balance of financial, efficiency, and sustainability"
portunities.,1.2.2. DR GOV-2 – Information provided to and sustainability,,,aligned with its long-term sustainability targets.,indicators  (although  the  latter  are  not  yet  specific  enough  to  be
,"matters addressed by the undertaking’s administrative, man-",,,,"applied 
in  reality)  and  thus  reflect  the  company's  sustainable"
"For FACC, the available skills and expertise of its executive bodies",agement and supervisory bodies,,,The executive bodies will begin to assess potential trade-offs be-,growth strategy. A prerequisite for the payment of variable com-
are crucial for the effective management of the identified material,,,,tween short-term gains and long-term impacts. For large transac-,pensation components is the distribution of a dividend. The maxi-
"impacts,  risks  and  opportunities  (IROs).  Expertise  in  the  area  of",(ESRS 2-GOV-2.26) (ESRS 2-GOV-2.26a): The CSR Manager pre-,,,"tions, the IROs will be progressively included in the assessment of",mum achievable bonus for all board members is limited to 70 per-
sustainability  enables  the  executive  bodies  to  comprehend  the,pares detailed reports that are submitted to the Steering Commit-,,,"financial, environmental and social impacts, which will help the ex-",cent  of  a  dividend  payment  for  the  affected  fiscal  year.  Variable
complex interrelationships between FACC's business activities and,"tee, including the Management Board, each quarter. These reports",,,ecutive bodies to make informed decisions that promote the long-,compensation  is  capped  at  100  percent  of  the  respective  gross
their  environmental  and  social  consequences.  This  is  crucial  for,"cover current developments and, from the 2025 financial year, ma-",,,term  stability  and  sustainability  of  the  company.  Non-financial,"base salary. In addition to quantitative criteria, there are also qual-"
making  informed  decisions  that  meet  both  corporate  objectives,terial  IROs  and  significant  changes  to  ensure  that  the  Manage-,,,IROs  will  be  gradually  integrated  into  the  existing  risk  manage-,itative criteria that are determined according to the area of respon-
and sustainability requirements.,ment Board is kept up to date on a regular basis.,,,ment process in the coming years to ensure that potential risks are,"sibility of the respective board member. As mentioned, FACC does"
,,,,identified at an early stage and suitable risk mitigation measures,not yet have specific incentive systems and compensation policies
The capabilities available to the company help to identify potential,"In  the  2024  financial  year,  double  materiality  analysis  (DMA) 
•",,,are developed.,directly linked to sustainability topics at the reporting date.
"risks  at  an  early  stage  and  develop  suitable 
risk  mitigation","and  the  evaluation  of  ESG 
impacts,  risks  and  opportunities",,,,
measures. This includes compliance with regulatory requirements,"were introduced, and the Management Board was informed of",,,"(ESRS 2-GOV-2.26c): In the reporting period, the administrative,","However, FACC is actively examining the possibility of developing"
as well as proactive adaptation to changing market conditions. At,the findings through special meetings and presentations. These,,,management and supervisory bodies dealt with a number of signif-,and implementing such incentive systems characterized by trans-
"the same time, the expertise of the executive bodies supports FACC",meetings were held as soon as significant results had been ob-,,,"icant  impacts,  risks  and  opportunities  (IROs).  Some  of  the  most","parency,  fairness,  and  equality,  ensuring  that  sustainability-re-"
in identifying and exploiting opportunities in the area of sustaina-,tained to ensure that the Management Board had comprehen-,,,important topics are outlined below:,"lated performance is recognized and rewarded. Currently, no spe-"
"bility, such as the development of new, eco-friendly products or the","sive 
information 
about 
the 
latest 
findings 
and 
required",,,,cific performance indicators or targets related to sustainability are
optimization of processes to increase resource efficiency.,measures.,,,Environmental impacts,"used for evaluation. Consequently, sustainability indicators are not"
,,,,,considered as performance measures or benchmarks in compensa-
"In addition, the executive bodies make use of their competencies","The implementation of due diligence practices in the CSR area 
•",,,"CO2 emissions and measures to reduce these 
•","tion  policies,  and  variable  compensation  does  not  depend  on  sus-"
to  continuously  review  and  adjust  FACC's  strategic  orientation,is also monitored and reported on by the CSR manager. In the,,,,tainability goals or impacts. In considerations for introducing such
with  regard  to  sustainability.  This  ensures  that  the  company  not,"2024  financial  year,  the  results  of  the  due  diligence  analyses",,,"resource efficiency and circular economy 
•","systems,  discussions  are  held  on  which  specific  sustainability"
"only  addresses  current  challenges,  but  also  pursues  long-term",were  communicated  to  the  Management  Board  through  tar-,,,,"goals, such as the reduction of greenhouse gas emissions, could be"
sustainability targets. Through this targeted use of skills and ex-,geted  reporting  to  ensure  that  the  practices  are  applied  con-,,,Social and labor-related risks,considered as criteria for evaluation. It is also discussed what pro-
"pertise, FACC is able to effectively manage its key IROs and suc-",sistently.,,,,portion sustainability-related performance criteria could make up
cessfully implement its sustainability strategy.,,,,"working conditions and job security 
•",of  variable  compensation.  These  potential  systems  are  being  de-
,"•  Within  the  next  two  to  three  years,  FACC  aims  to  establish  a",,,,veloped to align the company's strategy with sustainability goals.
(G1-GOV 1.5)(G1-GOV 1.5a): Supervisory Board:,"written  process  to  evaluate  the  effectiveness  of  policies,  ac-",,,"compliance with human rights and ethical standards 
•",The conditions for such incentive systems and their annual evalu-
,"tions, metrics and targets (P, A, M and T) to address material",,,,"ation would be conducted by the HR department, with all changes"
The Supervisory Board's actions are based on the laws and regula-,IROs. These reports should include an assessment of whether,,,"fostering diversity and inclusion 
•",requiring approval from the Supervisory Board.
