0,1,2,3,4,5
# DR,Description,Reference,Pages,Other EU legislation*,Comments
ESRS S2: Workers in the value chain,,,,,
ESRS 2,Interests and views of stakeholders,"Sustainability  Statement:  Strategy,  business  model  and  value","60-62,",,
SBM-2,,chain - Stakeholder engagement.,111,,
ESRS 2,"Material impacts, risks and","Sustainability  Statement:  Double  Materiality  Assessment 
-",65-67,SFDR,
SBM-3,opportunities and their interaction,"Material impacts, risks and opportunities and their interaction",,,
,with strategy and business mode,with strategy and business model.,,,
S2-1,Policies related to value chain,Sustainability Statement: Social – Workers in the value chain -,112-113,"SFDR, BRR",
,workers,Policies related to value chain workers.,,,
S2-2,Processes for engaging with value,Sustainability Statement: Social – Workers in the value chain -,113-114,,
,chain workers about impacts,Value chain worker engagement.,,,
S2-3,Processes to remediate negative,Sustainability Statement: Social – Workers in the value chain -,114,,
,impacts and channels for value chain,Processes to remediate negative impacts and channels for value,,,
,workers to raise concerns,chain workers to raise concerns.,,,
S2-4,Taking action on material impacts on,Sustainability Statement: Social – Workers in the value chain -,114-116,SFDR,
,"value  chain  workers,  and  approaches",Workers in the value chain actions and resources.,,,
,"to  managing  material 
risks 
and",,,,
,"pursuing 
material 
opportunities",,,,
,"related  to  value  chain  workers,  and",,,,
,effectiveness of those actions,,,,
S2-5,Targets related to managing material,Sustainability Statement: Social – Workers in the value chain -,116-118,,
,"negative  impacts,  advancing  positive",Workers in the value chain actions and resources - Metrics and,,,
,impacts and managing material risks,Targets.,,,
,and opportunities,,,,
ESRS G1: Business conduct,,,,,
ESRS 2,"The 
role 
of 
the 
administrative,",Sustainability  Statement:  Governance  of  sustainability  -  The,"69-71, 118",,
GOV-1,supervisory and management bodies,"role of the administrative, management and supervisory bodies;",,,
,,Governance – Business conduct – Governance.,,,
ESRS 2,"Description 
of 
the 
processes 
to","Sustainability  Statement:  Double  Materiality  Assessment 
-",63-64,,
IRO-1,"identify and assess material impacts,","Description  of  the  process  to 
identify  and  assess  material",,,
,risks and opportunities,"impacts, risks and opportunities.",,,
G1-1,"Business 
conduct 
policies 
and",Sustainability  Statement:  Governance  –  Business  conduct  -,118-121,SFDR,
,corporate culture,Policies related to business conduct.,,,
G1-3,"Prevention 
and 
detection 
of",Sustainability  Statement:  Governance  –  Business  conduct  -,121,,
,corruption and bribery,Prevention and detection of corruption and bribery.,,,
G1-4,Incidents of corruption or bribery,Sustainability  Statement:  Governance  –  Business  conduct  -,122,"SFDR, BRR",
,,Metrics and Targets.,,,
